run_dir,best_objective,final_iteration,first_success_iteration
output_20250928-155936,-2.0626118708227397,250,
output_20250928-160128,-2.0626118708227397,250,
output_20250928-160256,-2.0626118708227397,250,
output_20250928-160429,-2.062611870822708,250,
output_20250928-160557,-2.062611870822737,250,
output_20250928-160739,-2.0626118708227397,250,
output_20250928-160916,-2.0626118708227397,250,
output_20250928-161051,-2.0626118708227277,250,
output_20250928-161222,-2.0626118708227392,250,
output_20250928-161355,-2.0626118708227206,250,
output_20250928-161537,-2.0626118708227397,250,
output_20250928-161723,-2.0626118708227383,250,
output_20250928-161859,-2.062611870822739,250,
output_20250928-162038,-2.0626118708227397,250,
output_20250928-162203,-2.062611870821313,250,
output_20250928-162336,-2.062611870822001,250,
output_20250928-162508,-2.06261187082273,250,
output_20250928-162640,-2.0626118708221974,250,
output_20250928-162810,-2.0626118708227392,250,
output_20250928-162947,-2.0626118708227397,250,
output_20250928-163121,-2.0626118708227397,250,
output_20250928-163253,-2.0626118708227335,250,
output_20250928-163430,-2.0626118708227392,250,
output_20250928-163608,-2.062611870822739,250,
output_20250928-163738,-2.0626118708227397,250,
output_20250928-163909,-2.0626118708227397,250,
output_20250928-164042,-2.0626118708226038,250,
output_20250928-164225,-2.0626118708227397,250,
output_20250928-164404,-2.0626118708227397,250,
output_20250928-164538,-2.0626118708227392,250,
output_20250928-164707,-2.062611870822739,250,
output_20250928-164858,-2.0626118708226526,250,
output_20250928-165035,-2.062611870822738,250,
output_20250928-165222,-2.062611870822731,250,
output_20250928-165352,-2.062611870822738,250,
output_20250928-165522,-2.062611870822443,250,
output_20250928-165648,-2.062611870822707,250,
output_20250928-165817,-2.0626118708227383,250,
output_20250928-165947,-2.0626118708227397,250,
output_20250928-170116,-2.0626118708190653,250,
output_20250928-170259,-2.062611870822739,250,
output_20250928-170433,-2.0626118708227055,250,
output_20250928-170604,-2.0626118708227383,250,
output_20250928-170736,-2.0626118708227397,250,
output_20250928-170909,-2.062611870822739,250,
output_20250928-171051,-2.062611870822738,250,
output_20250928-171229,-2.0626118708227397,250,
output_20250928-171405,-2.0626118708227397,250,
output_20250928-171541,-2.0626118708227397,250,
output_20250928-171713,-2.0626118708213546,250,
output_20250928-171841,-2.0626118708223244,250,
output_20250928-172017,-2.0626118708227392,250,
output_20250928-172152,-2.0626118708227392,250,
output_20250928-172318,-2.0626118708227352,250,
output_20250928-172453,-2.0626118708227397,250,
output_20250928-172633,-2.0626118708227397,250,
output_20250928-172803,-2.0626118708227392,250,
output_20250928-172932,-2.062611870822687,250,
output_20250928-173110,-2.0626118708223427,250,
output_20250928-173245,-2.062611870822739,250,
output_20250928-173411,-2.062611870822631,250,
output_20250928-173545,-2.0626118708227392,250,
output_20250928-173707,-2.0626118708227295,250,
output_20250928-173836,-2.0626118708227357,250,
output_20250928-173958,-2.062611870822384,250,
output_20250928-174128,-2.062611870822738,250,
output_20250928-174257,-2.0626118708227366,250,
output_20250928-174422,-2.062611870822525,250,
output_20250928-174607,-2.0626118708227397,250,
output_20250928-174737,-2.062611870822673,250,
output_20250928-174858,-2.0626118708227397,250,
output_20250928-175041,-2.0626118708227277,250,
output_20250928-175220,-2.0626118708227397,250,
output_20250928-175400,-2.0626118708226526,250,
output_20250928-175537,-2.0626118708227037,250,
output_20250928-175712,-2.062611870822476,250,
output_20250928-175852,-2.0626118708227383,250,
output_20250928-180023,-2.0626118708227397,250,
output_20250928-180154,-2.0626118708227352,250,
output_20250928-180331,-2.0626118708227392,250,
output_20250928-180458,-2.0626118708226193,250,
output_20250928-180636,-2.062611870822739,250,
output_20250928-180809,-2.0626118708203305,250,
output_20250928-180946,-2.0626118708227392,250,
output_20250928-181121,-2.0626118708227397,250,
output_20250928-181257,-2.0626118708227397,250,
output_20250928-181428,-2.0626118708227397,250,
output_20250928-181607,-2.0626118708217454,250,
output_20250928-181742,-2.062611870821476,250,
output_20250928-181910,-2.062611870818193,250,
output_20250928-182055,-2.0626118708227397,250,
output_20250928-182234,-2.0626118708227397,250,
output_20250928-182404,-2.0626118708227397,250,
output_20250928-182534,-2.0626118708227397,250,
output_20250928-182703,-2.0626118708227397,250,
output_20250928-182848,-2.0626118708227392,250,
output_20250928-183028,-2.062611870822677,250,
output_20250928-183156,-2.0626118708227352,250,
output_20250928-183326,-2.0626118708227374,250,
output_20250928-183500,-2.0626118708227295,250,
