run_id,run_dir,execution_time,generations,population_size,problem_dimension,num_objectives
1,output_20250928-205911,25.1,251,100,5,2
2,output_20250928-205939,25.1,251,100,5,2
3,output_20250928-210008,25.1,251,100,5,2
4,output_20250928-210037,25.1,251,100,5,2
5,output_20250928-210107,25.1,251,100,5,2
6,output_20250928-210136,25.1,251,100,5,2
7,output_20250928-210205,25.1,251,100,5,2
8,output_20250928-210232,25.1,251,100,5,2
9,output_20250928-210255,25.1,251,100,5,2
10,output_20250928-210325,25.1,251,100,5,2
11,output_20250928-210354,25.1,251,100,5,2
12,output_20250928-210422,25.1,251,100,5,2
13,output_20250928-210449,25.1,251,100,5,2
14,output_20250928-210519,25.1,251,100,5,2
15,output_20250928-210548,25.1,251,100,5,2
16,output_20250928-210618,25.1,251,100,5,2
17,output_20250928-210647,25.1,251,100,5,2
18,output_20250928-210715,25.1,251,100,5,2
19,output_20250928-210744,25.1,251,100,5,2
20,output_20250928-210813,25.1,251,100,5,2
21,output_20250928-210842,25.1,251,100,5,2
22,output_20250928-210911,25.1,251,100,5,2
23,output_20250928-210941,25.1,251,100,5,2
24,output_20250928-211011,25.1,251,100,5,2
25,output_20250928-211040,25.1,251,100,5,2
26,output_20250928-211109,25.1,251,100,5,2
27,output_20250928-211138,25.1,251,100,5,2
28,output_20250928-211207,25.1,251,100,5,2
29,output_20250928-211235,25.1,251,100,5,2
30,output_20250928-211304,25.1,251,100,5,2
31,output_20250928-211332,25.1,251,100,5,2
32,output_20250928-211402,25.1,251,100,5,2
33,output_20250928-211431,25.1,251,100,5,2
34,output_20250928-211459,25.1,251,100,5,2
35,output_20250928-211529,25.1,251,100,5,2
36,output_20250928-211558,25.1,251,100,5,2
37,output_20250928-211627,25.1,251,100,5,2
38,output_20250928-211655,25.1,251,100,5,2
39,output_20250928-211723,25.1,251,100,5,2
40,output_20250928-211752,25.1,251,100,5,2
41,output_20250928-211821,25.1,251,100,5,2
42,output_20250928-211849,25.1,251,100,5,2
43,output_20250928-211918,25.1,251,100,5,2
44,output_20250928-211946,25.1,251,100,5,2
45,output_20250928-212013,25.1,251,100,5,2
46,output_20250928-212041,25.1,251,100,5,2
47,output_20250928-212109,25.1,251,100,5,2
48,output_20250928-212138,25.1,251,100,5,2
49,output_20250928-212206,25.1,251,100,5,2
50,output_20250928-212234,25.1,251,100,5,2
51,output_20250928-212303,25.1,251,100,5,2
52,output_20250928-212334,25.1,251,100,5,2
53,output_20250928-212403,25.1,251,100,5,2
54,output_20250928-212432,25.1,251,100,5,2
55,output_20250928-212502,25.1,251,100,5,2
56,output_20250928-212532,25.1,251,100,5,2
57,output_20250928-212601,25.1,251,100,5,2
58,output_20250928-212629,25.1,251,100,5,2
59,output_20250928-212659,25.1,251,100,5,2
60,output_20250928-212728,25.1,251,100,5,2
61,output_20250928-212758,25.1,251,100,5,2
62,output_20250928-212827,25.1,251,100,5,2
63,output_20250928-212855,25.1,251,100,5,2
64,output_20250928-212925,25.1,251,100,5,2
65,output_20250928-212953,25.1,251,100,5,2
66,output_20250928-213022,25.1,251,100,5,2
67,output_20250928-213051,25.1,251,100,5,2
68,output_20250928-213120,25.1,251,100,5,2
69,output_20250928-213147,25.1,251,100,5,2
70,output_20250928-213215,25.1,251,100,5,2
71,output_20250928-213243,25.1,251,100,5,2
72,output_20250928-213312,25.1,251,100,5,2
73,output_20250928-213339,25.1,251,100,5,2
74,output_20250928-213406,25.1,251,100,5,2
75,output_20250928-213428,25.1,251,100,5,2
76,output_20250928-213455,25.1,251,100,5,2
77,output_20250928-213523,25.1,251,100,5,2
78,output_20250928-213551,25.1,251,100,5,2
79,output_20250928-213619,25.1,251,100,5,2
80,output_20250928-213646,25.1,251,100,5,2
81,output_20250928-213713,25.1,251,100,5,2
82,output_20250928-213742,25.1,251,100,5,2
83,output_20250928-213811,25.1,251,100,5,2
84,output_20250928-213839,25.1,251,100,5,2
85,output_20250928-213906,25.1,251,100,5,2
86,output_20250928-213934,25.1,251,100,5,2
87,output_20250928-214002,25.1,251,100,5,2
88,output_20250928-214023,25.1,251,100,5,2
89,output_20250928-214052,25.1,251,100,5,2
90,output_20250928-214120,25.1,251,100,5,2
91,output_20250928-214149,25.1,251,100,5,2
92,output_20250928-214218,25.1,251,100,5,2
93,output_20250928-214246,25.1,251,100,5,2
94,output_20250928-214314,25.1,251,100,5,2
95,output_20250928-214342,25.1,251,100,5,2
96,output_20250928-214410,25.1,251,100,5,2
97,output_20250928-214437,25.1,251,100,5,2
98,output_20250928-214506,25.1,251,100,5,2
99,output_20250928-214535,25.1,251,100,5,2
100,output_20250928-214603,25.1,251,100,5,2
