run_dir,best_objective,final_iteration,first_success_iteration
output_20250928-155936,-0.9999999999995366,160,
output_20250928-160128,-1.0,160,
output_20250928-160257,-0.9999999988641631,160,
output_20250928-160429,-0.999999997952739,160,
output_20250928-160557,-0.9999999992667562,160,
output_20250928-160739,-0.9999999999989149,160,
output_20250928-160916,-0.9999999999999915,160,
output_20250928-161050,-0.9999999999999859,160,
output_20250928-161221,-0.9999999999707105,160,
output_20250928-161356,-0.999999999978064,160,
output_20250928-161537,-0.9999999999691446,160,
output_20250928-161723,-0.9999999999693862,160,
output_20250928-161858,-0.9999999999999988,160,
output_20250928-162038,-0.9999999999678785,160,
output_20250928-162203,-0.9999999968042237,160,
output_20250928-162336,-0.9999999999952043,160,
output_20250928-162509,-0.9999999999990236,160,
output_20250928-162640,-0.9999999999767417,160,
output_20250928-162810,-0.9999999999993182,160,
output_20250928-162947,-0.9999999999998209,160,
output_20250928-163121,-0.9999999999975985,160,
output_20250928-163253,-0.9999999998194913,160,
output_20250928-163430,-0.9999994542980757,160,
output_20250928-163609,-0.9999999969190301,160,
output_20250928-163738,-0.9999999999713006,160,
output_20250928-163908,-0.999999997507214,160,
output_20250928-164042,-0.999999999994869,160,
output_20250928-164226,-0.9999999999996819,160,
output_20250928-164404,-0.9999999993634303,160,
output_20250928-164538,-0.9999999999915491,160,
output_20250928-164707,-0.9999999998789907,160,
output_20250928-164857,-0.9999999985443406,160,
output_20250928-165035,-0.9999999910124844,160,
output_20250928-165222,-0.9999999992387497,160,
output_20250928-165352,-0.9999999999999777,160,
output_20250928-165522,-0.9999999999806861,160,
output_20250928-165649,-0.9999999998911155,160,
output_20250928-165817,-0.9999999999913411,160,
output_20250928-165947,-0.9999999999999906,160,
output_20250928-170116,-0.9999999825023423,160,
output_20250928-170259,-0.9999999999999918,160,
output_20250928-170432,-0.9999999694173349,160,
output_20250928-170604,-1.0,160,
output_20250928-170736,-0.9999999999999999,160,
output_20250928-170909,-0.9999999999914863,160,
output_20250928-171050,-0.9999999999977455,160,
output_20250928-171229,-0.9999999999995648,160,
output_20250928-171405,-0.9999999999805856,160,
output_20250928-171542,-0.9999999984273333,160,
output_20250928-171713,-0.9999999999997631,160,
output_20250928-171841,-0.9999999999963363,160,
output_20250928-172018,-0.9999999980751083,160,
output_20250928-172152,-0.9999999997337969,160,
output_20250928-172318,-0.9999999999596109,160,
output_20250928-172453,-0.9999999999999939,160,
output_20250928-172633,-0.9999999999993582,160,
output_20250928-172803,-0.9999999999997491,160,
output_20250928-172932,-0.9999999999999996,160,
output_20250928-173110,-0.9999999999989774,160,
output_20250928-173244,-0.9999999999986687,160,
output_20250928-173411,-0.9999999995078387,160,
output_20250928-173545,-0.9999999999999649,160,
output_20250928-173707,-0.9999999999999893,160,
output_20250928-173836,-1.0,160,
output_20250928-173958,-0.9999999999998161,160,
output_20250928-174128,-0.9999999999921168,160,
output_20250928-174258,-0.9999999999997147,160,
output_20250928-174422,-0.9999999999940435,160,
output_20250928-174607,-0.9999999998477339,160,
output_20250928-174737,-0.9999999999999764,160,
output_20250928-174858,-0.9999999998413188,160,
output_20250928-175042,-0.9999999983216629,160,
output_20250928-175220,-0.9999999997209019,160,
output_20250928-175359,-0.9999999999553227,160,
output_20250928-175537,-0.9999999904586597,160,
output_20250928-175712,-1.0,160,
output_20250928-175853,-0.9999999999986371,160,
output_20250928-180023,-1.0,160,
output_20250928-180154,-0.9999999999230662,160,
output_20250928-180331,-1.0,160,
output_20250928-180458,-0.9999999997685636,160,
output_20250928-180636,-0.9999999999999487,160,
output_20250928-180810,-0.9999999999924527,160,
output_20250928-180946,-0.9999999999898793,160,
output_20250928-181120,-0.9999999999992797,160,
output_20250928-181256,-0.9999999999927968,160,
output_20250928-181427,-0.9999999999999016,160,
output_20250928-181607,-0.999999999900347,160,
output_20250928-181743,-1.0,160,
output_20250928-181910,-0.9999999999999987,160,
output_20250928-182055,-0.9999999999999997,160,
output_20250928-182234,-0.9999999999999982,160,
output_20250928-182405,-0.999999999997024,160,
output_20250928-182534,-0.9999999999999052,160,
output_20250928-182704,-0.9999999999995424,160,
output_20250928-182848,-0.9999999999970657,160,
output_20250928-183028,-0.9999999999999999,160,
output_20250928-183156,-0.9999999999991996,160,
output_20250928-183326,-0.9999999999999958,160,
output_20250928-183500,-1.0,160,
