run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071938,-894.547518668413,49,0
output_20250926-072104,-882.8609958522397,49,0
output_20250926-072226,-893.8698487334261,49,0
output_20250926-072352,-934.7559668808169,49,0
output_20250926-072515,-894.0920185634642,49,0
output_20250926-072645,-947.7636103527491,49,0
output_20250926-072813,-919.5517531930923,49,0
output_20250926-072944,-956.4524214437934,49,0
output_20250926-073107,-923.7470241557239,49,0
output_20250926-073227,-924.8924883769721,49,0
output_20250926-073409,-865.0021729800317,49,0
output_20250926-073531,-949.0836371679745,49,0
output_20250926-073653,-872.042895024639,49,0
output_20250926-073809,-920.1095461110299,49,0
output_20250926-073931,-854.481995320647,49,0
output_20250926-074050,-949.5022136722331,49,0
output_20250926-074211,-925.6477119752561,49,0
output_20250926-074337,-894.5789003901766,49,0
output_20250926-074500,-922.2642799731095,49,0
output_20250926-074628,-894.5789003905994,49,0
output_20250926-074754,-938.3807432298952,49,0
output_20250926-074917,-884.0441928020218,49,0
output_20250926-075039,-884.8344713798451,49,0
output_20250926-075159,-935.3375436282302,49,0
output_20250926-075319,-954.9042127772358,49,0
output_20250926-075459,-952.4488471248646,49,0
output_20250926-075632,-889.4226396525212,49,0
output_20250926-075757,-954.3172331127217,49,0
output_20250926-075931,-885.785481670965,49,0
output_20250926-080058,-894.5650667784749,49,0
output_20250926-080227,-888.1302609875698,49,0
output_20250926-080351,-891.785714146248,49,0
output_20250926-080511,-891.1140376323233,49,0
output_20250926-080633,-935.3194952775924,49,0
output_20250926-080803,-935.3379515217289,49,0
output_20250926-080923,-921.9805555350313,49,0
output_20250926-081045,-886.8615856987476,49,0
output_20250926-081207,-888.9462747067254,49,0
output_20250926-081325,-925.8092966871486,49,0
output_20250926-081446,-868.165217966598,49,0
output_20250926-081608,-912.6889878812879,49,0
output_20250926-081723,-934.6894534546682,49,0
output_20250926-081841,-888.9476223260679,49,0
output_20250926-082000,-894.5787248262986,49,0
output_20250926-082132,-894.5789003864331,49,0
output_20250926-082253,-888.7529350214445,49,0
output_20250926-082407,-934.9804585277216,49,0
output_20250926-082530,-956.5827077475476,49,0
output_20250926-082655,-935.1949694573455,49,0
output_20250926-082817,-901.1627766305049,49,0
output_20250926-082948,-800.6794406884567,49,0
output_20250926-083109,-888.9491243887077,49,0
output_20250926-083233,-877.2347912500518,49,0
output_20250926-083356,-956.3401166961605,49,0
output_20250926-083520,-894.5789003906,49,0
output_20250926-083644,-913.2845010156984,49,0
output_20250926-083802,-894.5770355452953,49,0
output_20250926-083918,-949.6550380051995,49,0
output_20250926-084042,-893.6036409528135,49,0
output_20250926-084210,-928.2388106910955,49,0
output_20250926-084333,-864.7135003323856,49,0
output_20250926-084457,-886.726823415999,49,0
output_20250926-084616,-876.9827602781411,49,0
output_20250926-084740,-912.4095852335639,49,0
output_20250926-084928,-823.4174789567979,49,0
output_20250926-085045,-869.8909245304636,49,0
output_20250926-085212,-934.7258722148797,49,0
output_20250926-085335,-856.0887872789622,49,0
output_20250926-085506,-935.3376427169827,49,0
output_20250926-085644,-862.3164664558776,49,0
output_20250926-085804,-954.9058679631253,49,0
output_20250926-085922,-935.3348782734325,49,0
output_20250926-090047,-894.5789003906,49,0
output_20250926-090233,-956.8754675839423,49,0
output_20250926-090356,-935.2230491541802,49,0
output_20250926-090520,-948.1295731352261,49,0
output_20250926-090642,-894.5788466664253,49,0
output_20250926-090800,-881.5379932299785,49,0
output_20250926-090922,-873.764715532686,49,0
output_20250926-091048,-933.98773896904,49,0
output_20250926-091204,-894.1934452768137,49,0
output_20250926-091329,-955.2546107154235,49,0
output_20250926-091458,-935.3379277555332,49,0
output_20250926-091618,-894.4660194241865,49,0
output_20250926-091741,-921.6597029637242,49,0
output_20250926-091904,-894.5789003906,49,0
output_20250926-092024,-867.6183937549987,49,0
output_20250926-092151,-935.3355902567454,49,0
output_20250926-092310,-941.9484766725559,49,0
output_20250926-092423,-888.2804162205578,49,0
output_20250926-092601,-952.4727788288462,49,0
output_20250926-092721,-908.56057842879,49,0
output_20250926-092839,-892.8273787619798,49,0
output_20250926-093000,-890.9008901961624,49,0
output_20250926-093124,-931.1648258381522,49,0
output_20250926-093311,-858.4224485777751,49,0
output_20250926-093431,-956.1832825130011,49,0
output_20250926-093555,-934.4883837213969,49,0
output_20250926-093716,-883.4231641679125,49,0
output_20250926-093838,-947.673157828701,49,0
