run_dir,best_objective,final_iteration,first_success_iteration
output_20250928-155936,4.275502078670146e-09,220,220
output_20250928-160127,1.486557621331202e-08,220,220
output_20250928-160257,1.38492324560292e-12,220,220
output_20250928-160429,1.3542223147089995e-06,220,
output_20250928-160557,2.6790023607350104e-07,220,220
output_20250928-160739,0.00010426649840996722,220,
output_20250928-160916,1.351189506999308e-11,220,220
output_20250928-161050,5.745480624176696e-11,220,220
output_20250928-161221,9.042647705914598e-06,220,
output_20250928-161356,3.090055370221699e-20,220,220
output_20250928-161537,1.3829061314865391e-07,220,220
output_20250928-161723,2.340324519294963e-07,220,220
output_20250928-161859,1.0238412839440715e-07,220,220
output_20250928-162038,3.002450895296613e-09,220,220
output_20250928-162203,1.6165365437692838e-22,220,220
output_20250928-162337,1.4290321764979977e-11,220,220
output_20250928-162508,5.477383577811268e-14,220,220
output_20250928-162640,4.039808705127295e-07,220,220
output_20250928-162810,1.1910169195740302e-12,220,220
output_20250928-162947,3.3134154884774474e-10,220,220
output_20250928-163120,7.956380811697921e-12,220,220
output_20250928-163253,3.448854677829947e-08,220,220
output_20250928-163430,3.001648449746678e-13,220,220
output_20250928-163609,4.411069423760698e-11,220,220
output_20250928-163738,2.357695794649304e-13,220,220
output_20250928-163909,2.2371995301806854e-06,220,
output_20250928-164042,1.3642302639210225e-16,220,220
output_20250928-164225,1.8720680343165778e-09,220,220
output_20250928-164404,2.5891206498533718e-11,220,220
output_20250928-164538,4.367681061592369e-06,220,
output_20250928-164707,7.79703340553575e-08,220,220
output_20250928-164857,1.9402626739065238e-12,220,220
output_20250928-165035,3.936946143540399e-17,220,220
output_20250928-165222,9.053740517456716e-06,220,
output_20250928-165352,2.3804199565018812e-07,220,220
output_20250928-165522,1.4774560764503574e-07,220,220
output_20250928-165649,2.675053443729651e-12,220,220
output_20250928-165817,8.316098673561602e-09,220,220
output_20250928-165947,6.979356160820908e-06,220,
output_20250928-170116,7.917773948409897e-15,220,220
output_20250928-170259,4.296705617737975e-07,220,220
output_20250928-170433,3.32591000891444e-06,220,
output_20250928-170604,2.7128770434564455e-06,220,
output_20250928-170736,5.878626226033802e-16,220,220
output_20250928-170909,4.067773354715707e-07,220,220
output_20250928-171050,9.495339528318059e-09,220,220
output_20250928-171230,2.3227360183206917e-10,220,220
output_20250928-171405,6.592552978001498e-20,220,220
output_20250928-171542,3.6636680138303435e-18,220,220
output_20250928-171713,4.272209954356288e-08,220,220
output_20250928-171841,7.24500256029888e-14,220,220
output_20250928-172018,5.841441996668037e-07,220,220
output_20250928-172152,1.6901047044037514e-07,220,220
output_20250928-172318,2.2625755424681384e-13,220,220
output_20250928-172453,3.801749695473097e-08,220,220
output_20250928-172633,3.7717773339632683e-10,220,220
output_20250928-172803,1.2532837667357713e-06,220,
output_20250928-172933,2.229741964502651e-06,220,
output_20250928-173110,1.5429481012614776e-08,220,220
output_20250928-173245,5.3876099526940753e-14,220,220
output_20250928-173411,2.1945226233152718e-07,220,220
output_20250928-173545,6.021124799260721e-16,220,220
output_20250928-173707,9.578363010016241e-06,220,
output_20250928-173837,5.813399935325206e-10,220,220
output_20250928-173958,2.546027944417068e-05,220,
output_20250928-174128,3.071337533622459e-21,220,220
output_20250928-174258,1.077438526351487e-05,220,
output_20250928-174422,2.223286057320717e-07,220,220
output_20250928-174607,2.87372876302829e-12,220,220
output_20250928-174737,1.4925988558110095e-07,220,220
output_20250928-174859,2.9373124811598986e-14,220,220
output_20250928-175041,2.3364251103571104e-07,220,220
output_20250928-175220,7.608751519014356e-17,220,220
output_20250928-175359,9.17237683256837e-17,220,220
output_20250928-175537,1.0651670885282276e-05,220,
output_20250928-175712,2.298248132256595e-16,220,220
output_20250928-175853,2.2416054691958047e-08,220,220
output_20250928-180023,1.2670686413759646e-07,220,220
output_20250928-180154,1.5493632908381623e-08,220,220
output_20250928-180331,1.9688375866033906e-05,220,
output_20250928-180458,2.149260537129928e-17,220,220
output_20250928-180636,2.7079438792176468e-06,220,
output_20250928-180809,7.083744808389562e-10,220,220
output_20250928-180947,1.4348056633283837e-08,220,220
output_20250928-181120,2.7405007441786023e-09,220,220
output_20250928-181257,8.506892908632124e-12,220,220
output_20250928-181428,2.7636674646012405e-07,220,220
output_20250928-181607,1.871891981966164e-10,220,220
output_20250928-181743,1.806491472956117e-26,220,220
output_20250928-181910,5.590543580227921e-07,220,220
output_20250928-182055,3.846390211011452e-12,220,220
output_20250928-182234,1.7255321703912995e-11,220,220
output_20250928-182404,5.100845981962877e-07,220,220
output_20250928-182535,1.0997747115500106e-06,220,
output_20250928-182703,6.868183169387303e-11,220,220
output_20250928-182848,1.6669489735890578e-19,220,220
output_20250928-183028,1.1093810155385906e-15,220,220
output_20250928-183156,2.3717913702205572e-14,220,220
output_20250928-183326,7.17608021445996e-16,220,220
output_20250928-183500,6.152796015662072e-10,220,220
