run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071938,-19.20841094864199,259,0
output_20250926-072104,-19.208502557169084,259,0
output_20250926-072226,-19.208483417013493,259,0
output_20250926-072352,-19.20850056351981,259,0
output_20250926-072515,-19.20849219257553,259,0
output_20250926-072645,-19.208343656538,259,0
output_20250926-072813,-19.208501819663304,259,0
output_20250926-072944,-19.2085024598171,259,0
output_20250926-073107,-19.208502420751405,259,0
output_20250926-073227,-19.208501448755452,259,0
output_20250926-073410,-19.20849389529953,259,0
output_20250926-073531,-19.208461741988756,259,0
output_20250926-073653,-19.20850075032641,259,0
output_20250926-073809,-19.2084998925418,259,0
output_20250926-073931,-19.20849246407482,259,0
output_20250926-074050,-19.208455466576225,259,0
output_20250926-074211,-19.208490989129356,259,0
output_20250926-074338,-19.208496126428226,259,0
output_20250926-074500,-19.20844120781457,259,0
output_20250926-074628,-19.208501199656045,259,0
output_20250926-074754,-19.208478505711724,259,0
output_20250926-074917,-19.20849083383045,259,0
output_20250926-075039,-19.208498226756976,259,0
output_20250926-075159,-19.208499356959308,259,0
output_20250926-075319,-19.208487618544908,259,0
output_20250926-075459,-19.2085024773629,259,0
output_20250926-075632,-19.208429565327705,259,0
output_20250926-075757,-19.20847079669944,259,0
output_20250926-075931,-19.208501607674197,259,0
output_20250926-080058,-19.2085025455243,259,0
output_20250926-080227,-19.20850239642396,259,0
output_20250926-080351,-19.208502562275534,259,0
output_20250926-080511,-19.20838059097667,259,0
output_20250926-080633,-19.208500228128024,259,0
output_20250926-080803,-19.208309162396255,259,0
output_20250926-080923,-19.20848311925881,259,0
output_20250926-081045,-19.208493846740595,259,0
output_20250926-081207,-19.208502332020473,259,0
output_20250926-081325,-19.208502542564133,259,0
output_20250926-081446,-19.20794275166155,259,0
output_20250926-081608,-19.20850244656124,259,0
output_20250926-081723,-19.20846942831842,259,0
output_20250926-081841,-19.20850226836425,259,0
output_20250926-082000,-19.208501604473664,259,0
output_20250926-082132,-19.20850239980396,259,0
output_20250926-082253,-19.208432334903783,259,0
output_20250926-082407,-19.20850224160634,259,0
output_20250926-082530,-19.208492328338515,259,0
output_20250926-082655,-19.20850231634342,259,0
output_20250926-082817,-19.208497649250756,259,0
output_20250926-082948,-19.208500186850138,259,0
output_20250926-083109,-19.208211623129323,259,0
output_20250926-083233,-19.2084820210086,259,0
output_20250926-083357,-19.208492526609785,259,0
output_20250926-083520,-19.208299970710367,259,0
output_20250926-083644,-19.208502563683954,259,0
output_20250926-083802,-19.208502125528806,259,0
output_20250926-083918,-19.208501738573304,259,0
output_20250926-084042,-19.2084424809132,259,0
output_20250926-084210,-19.2085017729653,259,0
output_20250926-084333,-19.208481862349757,259,0
output_20250926-084456,-19.208502550912648,259,0
output_20250926-084616,-19.208502282966602,259,0
output_20250926-084740,-19.208499807322557,259,0
output_20250926-084928,-19.208501801912437,259,0
output_20250926-085045,-19.20850201034131,259,0
output_20250926-085212,-19.208502494873215,259,0
output_20250926-085335,-19.208501534945718,259,0
output_20250926-085506,-19.20850169475164,259,0
output_20250926-085644,-19.20850244210924,259,0
output_20250926-085804,-19.20850256737901,259,0
output_20250926-085922,-19.208457454029745,259,0
output_20250926-090047,-19.2085009789922,259,0
output_20250926-090233,-19.208500575820004,259,0
output_20250926-090356,-19.208486722278163,259,0
output_20250926-090520,-19.208495802428743,259,0
output_20250926-090642,-19.208465985486622,259,0
output_20250926-090759,-19.208500988575704,259,0
output_20250926-090922,-19.208491700347,259,0
output_20250926-091048,-19.20850244199107,259,0
output_20250926-091204,-19.20843997416756,259,0
output_20250926-091330,-19.208398020881752,259,0
output_20250926-091458,-19.20850139494088,259,0
output_20250926-091619,-19.208502426164223,259,0
output_20250926-091741,-19.208500495915636,259,0
output_20250926-091904,-19.208492830135175,259,0
output_20250926-092024,-19.208490144556603,259,0
output_20250926-092151,-19.208502522209066,259,0
output_20250926-092310,-19.20850254447189,259,0
output_20250926-092423,-19.208499413962315,259,0
output_20250926-092600,-19.208390353303706,259,0
output_20250926-092721,-19.208501851256415,259,0
output_20250926-092839,-19.208499584640656,259,0
output_20250926-093000,-19.20796690513164,259,0
output_20250926-093124,-19.208502564140243,259,0
output_20250926-093311,-19.20850254364006,259,0
output_20250926-093431,-19.208502544748477,259,0
output_20250926-093555,-19.208357390233797,259,0
output_20250926-093716,-19.20850255297177,259,0
output_20250926-093838,-19.20850245388028,259,0
