run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071938,0.00011012528608563315,119,
output_20250926-072104,6.601982661063071e-07,119,64
output_20250926-072226,1.8565299728231112e-20,119,19
output_20250926-072352,0.00011713711460823425,119,
output_20250926-072515,4.573089815869637e-05,119,
output_20250926-072645,2.4259473000744038e-06,119,
output_20250926-072813,2.264878492304239e-17,119,18
output_20250926-072944,5.601782482046671e-08,119,22
output_20250926-073107,1.2476537447617806e-22,119,15
output_20250926-073227,1.4818625300713221e-05,119,
output_20250926-073410,6.922523830287928e-11,119,82
output_20250926-073531,9.854236817099576e-09,119,32
output_20250926-073653,1.0506938006182107e-05,119,
output_20250926-073809,6.350608585663577e-06,119,
output_20250926-073931,2.331055595847977e-06,119,
output_20250926-074050,8.562625028145719e-06,119,
output_20250926-074211,5.933540631399979e-10,119,19
output_20250926-074338,0.0002729480313247551,119,
output_20250926-074500,1.7598787219844016e-05,119,
output_20250926-074628,7.300888585713723e-09,119,86
output_20250926-074754,3.574876951789782e-16,119,53
output_20250926-074917,5.952324407275958e-13,119,21
output_20250926-075039,0.0023540301236406056,119,
output_20250926-075159,2.0949145822585796e-05,119,
output_20250926-075319,3.8186010246118154e-20,119,13
output_20250926-075459,3.018620646008185e-06,119,
output_20250926-075632,5.692814938064615e-18,119,84
output_20250926-075757,6.690669904582023e-10,119,20
output_20250926-075931,5.221330560198708e-11,119,16
output_20250926-080058,9.939343147099366e-06,119,
output_20250926-080227,0.00034203671676740367,119,
output_20250926-080351,3.999712847152153e-07,119,93
output_20250926-080511,3.2762394356810214e-14,119,21
output_20250926-080633,7.597346542243244e-07,119,85
output_20250926-080803,3.415577940864853e-11,119,19
output_20250926-080923,5.191354210776743e-10,119,66
output_20250926-081045,0.10992807971723872,119,
output_20250926-081207,9.43352257379216e-09,119,21
output_20250926-081325,1.3697653216966838e-14,119,17
output_20250926-081446,3.515584660009909e-12,119,108
output_20250926-081608,1.3923543552679256e-21,119,24
output_20250926-081723,4.104442407419203e-09,119,18
output_20250926-081841,6.186019280737129e-28,119,16
output_20250926-082000,1.1432508449190178e-10,119,16
output_20250926-082132,1.3688725673046252e-10,119,15
output_20250926-082253,9.719052496150643e-09,119,18
output_20250926-082407,9.824915489227243e-23,119,17
output_20250926-082530,1.0639570889518807e-24,119,15
output_20250926-082656,4.649721316112235e-08,119,36
output_20250926-082817,2.6125081982886355e-07,119,85
output_20250926-082948,3.5020595323503695e-23,119,14
output_20250926-083109,0.0004167254948458544,119,
output_20250926-083233,8.271279834483661e-05,119,
output_20250926-083357,1.2425542159039405e-07,119,18
output_20250926-083520,1.2924832049521497e-26,119,21
output_20250926-083644,4.2702318636756e-06,119,
output_20250926-083801,4.126503145528367e-09,119,25
output_20250926-083918,8.559961342277344e-08,119,100
output_20250926-084042,0.0009413558334336369,119,
output_20250926-084210,5.506160411984402e-15,119,21
output_20250926-084333,5.619340231312985e-23,119,15
output_20250926-084456,7.0264356905432166e-09,119,19
output_20250926-084616,3.9330899561868543e-10,119,14
output_20250926-084740,1.3396680124944604e-10,119,25
output_20250926-084928,1.3497838043956716e-31,119,19
output_20250926-085045,4.102631546083262e-05,119,
output_20250926-085212,1.946496779125756e-11,119,21
output_20250926-085335,5.276842226093101e-09,119,47
output_20250926-085506,4.547647158609324e-10,119,48
output_20250926-085644,6.83082696488394e-05,119,
output_20250926-085804,2.175090257491739e-09,119,21
output_20250926-085922,0.01687439142365071,119,
output_20250926-090047,2.706297267195164e-15,119,18
output_20250926-090233,5.817617161418303e-05,119,
output_20250926-090356,3.5885252003069356e-07,119,21
output_20250926-090520,1.111619652410036e-18,119,95
output_20250926-090642,1.4910542968835118e-10,119,22
output_20250926-090800,7.636837687282219e-07,119,54
output_20250926-090922,3.92520625208131e-11,119,19
output_20250926-091048,1.2031824194273278e-21,119,20
output_20250926-091204,1.1078276205195998e-19,119,103
output_20250926-091329,6.0979721847499645e-06,119,
output_20250926-091458,1.557959335533758e-09,119,19
output_20250926-091618,4.189337527403427e-09,119,18
output_20250926-091741,1.8046351964806242e-07,119,20
output_20250926-091904,8.304071989972393e-24,119,24
output_20250926-092024,5.880369770524234e-06,119,
output_20250926-092151,5.0006477212831626e-09,119,19
output_20250926-092310,1.2712924110992275e-09,119,18
output_20250926-092423,4.356486211003437e-05,119,
output_20250926-092601,1.8190134841844386e-18,119,19
output_20250926-092721,3.7408460729561626e-06,119,
output_20250926-092839,1.5743004108421586e-08,119,18
output_20250926-093001,2.0763516586972042e-05,119,
output_20250926-093124,6.433740671521722e-13,119,18
output_20250926-093311,3.374149912782982e-06,119,
output_20250926-093431,3.380303891217937e-11,119,20
output_20250926-093555,8.148394317556472e-06,119,
output_20250926-093716,1.3497838043956716e-31,119,21
output_20250926-093838,0.000197032739603322,119,
