run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071938,0.0001259658710511171,79,
output_20250926-072104,2.79387498726433e-06,79,
output_20250926-072226,3.68917284790342e-05,79,
output_20250926-072352,2.1635200386988657e-14,79,16
output_20250926-072515,3.5533283055789115e-07,79,19
output_20250926-072645,0.0006167024100029606,79,
output_20250926-072813,6.641794068167536e-07,79,15
output_20250926-072945,2.86958170643068e-08,79,11
output_20250926-073107,5.971370989373419e-09,79,18
output_20250926-073227,1.8220608802264622e-06,79,
output_20250926-073410,0.0009889891223134415,79,
output_20250926-073531,1.7858910927212043e-05,79,
output_20250926-073653,6.041785866873464e-05,79,
output_20250926-073809,8.447774448839987e-05,79,
output_20250926-073931,0.0008043547446062744,79,
output_20250926-074050,3.892021318415331e-09,79,14
output_20250926-074211,2.072909619462144e-07,79,79
output_20250926-074338,0.0004002766697082886,79,
output_20250926-074500,7.692874206726472e-09,79,15
output_20250926-074628,0.00014277933323723945,79,
output_20250926-074754,3.434108232807016e-05,79,
output_20250926-074917,5.848727560744499e-07,79,16
output_20250926-075039,1.2001890901549128e-08,79,19
output_20250926-075159,3.463892711832412e-06,79,
output_20250926-075319,7.043707523937841e-07,79,13
output_20250926-075459,4.097596846796593e-06,79,
output_20250926-075632,1.2330482936518455e-15,79,46
output_20250926-075757,4.99728635812883e-08,79,11
output_20250926-075931,2.2120294619271726e-06,79,
output_20250926-080058,3.245144738762826e-07,79,10
output_20250926-080227,9.615563853477552e-07,79,16
output_20250926-080351,1.1995286448380501e-05,79,
output_20250926-080511,4.859898285975384e-06,79,
output_20250926-080633,0.00043816675596984687,79,
output_20250926-080803,0.0032579435984387284,79,
output_20250926-080923,1.3271900240946244e-05,79,
output_20250926-081045,7.144006984449221e-08,79,9
output_20250926-081207,2.1326917948234994e-07,79,17
output_20250926-081325,9.27264800936206e-06,79,
output_20250926-081447,2.8851288560079733e-06,79,
output_20250926-081608,9.284382043204108e-06,79,
output_20250926-081723,9.640729670448499e-11,79,18
output_20250926-081841,5.130058863851551e-10,79,17
output_20250926-082000,2.0297402153807408e-09,79,17
output_20250926-082132,1.3547855775635927e-06,79,
output_20250926-082253,0.0075612233944713225,79,
output_20250926-082408,5.420668690112457e-10,79,16
output_20250926-082530,2.2861481653743159e-07,79,11
output_20250926-082656,4.1702655596694514e-06,79,
output_20250926-082817,1.467782326924142e-09,79,11
output_20250926-082948,2.52613658805821e-08,79,13
output_20250926-083109,6.1355829760848e-06,79,
output_20250926-083233,5.612525528237382e-06,79,
output_20250926-083356,5.9604380003057443e-05,79,
output_20250926-083520,5.984993307316054e-07,79,19
output_20250926-083644,6.781015082619454e-06,79,
output_20250926-083801,4.370878719649727e-11,79,13
output_20250926-083918,4.645724370317642e-05,79,
output_20250926-084042,6.788223685373613e-06,79,
output_20250926-084210,8.09310732845676e-11,79,13
output_20250926-084333,7.856529861560377e-05,79,
output_20250926-084457,0.0003401565715427761,79,
output_20250926-084616,1.753126533386725e-10,79,14
output_20250926-084740,2.5692082668854036e-07,79,14
output_20250926-084928,2.5865624220561875e-05,79,
output_20250926-085045,3.670908799251192e-17,79,14
output_20250926-085212,2.1423943144251033e-06,79,
output_20250926-085335,2.532315791985688e-05,79,
output_20250926-085506,1.4840361469948046e-08,79,50
output_20250926-085644,1.146633783234464e-10,79,11
output_20250926-085804,3.402767700592187e-05,79,
output_20250926-085922,2.2024306972206285e-06,79,
output_20250926-090047,0.0026147195758318732,79,
output_20250926-090233,6.9933052138874675e-06,79,
output_20250926-090356,3.574672530081045e-07,79,10
output_20250926-090520,6.632179191243048e-07,79,23
output_20250926-090642,7.771434911638767e-10,79,9
output_20250926-090800,4.277376691932048e-11,79,14
output_20250926-090922,3.5002341513449168e-06,79,
output_20250926-091048,1.2418083950235583e-07,79,19
output_20250926-091204,2.2154568737262545e-06,79,
output_20250926-091330,0.00015970855881856146,79,
output_20250926-091458,8.448205569397386e-07,79,16
output_20250926-091619,1.2595539741462477e-09,79,14
output_20250926-091741,0.00014325821606024484,79,
output_20250926-091904,6.524073661805714e-09,79,11
output_20250926-092024,4.684152443665832e-05,79,
output_20250926-092151,2.6576929856127668e-06,79,
output_20250926-092310,2.0624335962843548e-05,79,
output_20250926-092423,1.8588223275621555e-06,79,
output_20250926-092600,7.71101588705363e-06,79,
output_20250926-092721,0.0005426901079210048,79,
output_20250926-092839,3.876830744801056e-10,79,20
output_20250926-093000,0.001753996717924939,79,
output_20250926-093124,0.0004220238356875648,79,
output_20250926-093311,8.066401127116102e-06,79,
output_20250926-093431,9.996334936208234e-12,79,14
output_20250926-093555,0.0007392652344084833,79,
output_20250926-093716,0.00028163863053821134,79,
output_20250926-093838,0.00021957625361354767,79,
