run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071939,-1.9132226666472625,179,0
output_20250926-072104,-1.9132229549809803,179,0
output_20250926-072226,-1.9132229548850153,179,0
output_20250926-072352,-1.9132228716150808,179,0
output_20250926-072515,-1.9132227108984305,179,0
output_20250926-072645,-1.9132229529710223,179,0
output_20250926-072813,-1.9132229549810362,179,0
output_20250926-072945,-1.9132229549799442,179,0
output_20250926-073107,-1.9132229513101588,179,0
output_20250926-073227,-1.9132229549809194,179,0
output_20250926-073410,-1.9132048796949421,179,0
output_20250926-073531,-1.9132229549788446,179,0
output_20250926-073653,-1.9132229549810367,179,0
output_20250926-073809,-1.9132229549809985,179,0
output_20250926-073931,-1.913222954261478,179,0
output_20250926-074050,-1.9132226064481745,179,0
output_20250926-074211,-1.9132229549810367,179,0
output_20250926-074338,-1.9132229549810225,179,0
output_20250926-074500,-1.9132229549810025,179,0
output_20250926-074628,-1.9132229549809834,179,0
output_20250926-074754,-1.9132229439833255,179,0
output_20250926-074917,-1.913194601461917,179,0
output_20250926-075039,-1.9132130524539717,179,0
output_20250926-075159,-1.9132229549810367,179,0
output_20250926-075319,-1.9132222862290664,179,0
output_20250926-075459,-1.9132229549810336,179,0
output_20250926-075632,-1.9132229549744144,179,0
output_20250926-075757,-1.9132229549684765,179,0
output_20250926-075931,-1.9132229549810331,179,0
output_20250926-080058,-1.9132229549607978,179,0
output_20250926-080227,-1.9132119076901857,179,0
output_20250926-080351,-1.913222954958742,179,0
output_20250926-080511,-1.9132229542791839,179,0
output_20250926-080633,-1.9132229541725634,179,0
output_20250926-080803,-1.9132229549777668,179,0
output_20250926-080923,-1.9132229549810367,179,0
output_20250926-081045,-1.9132229358860986,179,0
output_20250926-081207,-1.9132225939180691,179,0
output_20250926-081325,-1.9132229549810367,179,0
output_20250926-081446,-1.913152846566161,179,0
output_20250926-081608,-1.913222910147928,179,0
output_20250926-081723,-1.9132109605845011,179,0
output_20250926-081841,-1.913222954510366,179,0
output_20250926-082000,-1.9132162785859634,179,0
output_20250926-082132,-1.9132229549810367,179,0
output_20250926-082253,-1.9132229549810362,179,0
output_20250926-082408,-1.9132229549810367,179,0
output_20250926-082530,-1.9132229549810367,179,0
output_20250926-082655,-1.9132229549784157,179,0
output_20250926-082817,-1.9132002928390528,179,0
output_20250926-082949,-1.9132228811863916,179,0
output_20250926-083108,-1.9132208668580621,179,0
output_20250926-083233,-1.9132229549810367,179,0
output_20250926-083356,-1.9132229549810367,179,0
output_20250926-083520,-1.9131838855015078,179,0
output_20250926-083644,-1.913222954980509,179,0
output_20250926-083801,-1.913222954933703,179,0
output_20250926-083918,-1.91322191632982,179,0
output_20250926-084042,-1.9132229364348392,179,0
output_20250926-084210,-1.9132229549556978,179,0
output_20250926-084333,-1.9132227655890128,179,0
output_20250926-084457,-1.913222954432983,179,0
output_20250926-084616,-1.9132229549810353,179,0
output_20250926-084740,-1.9132229549663777,179,0
output_20250926-084928,-1.9132229547927535,179,0
output_20250926-085045,-1.9132229541590542,179,0
output_20250926-085212,-1.9132229549810367,179,0
output_20250926-085335,-1.913222954977948,179,0
output_20250926-085506,-1.9132224595317804,179,0
output_20250926-085644,-1.9132228988439648,179,0
output_20250926-085804,-1.913222894720322,179,0
output_20250926-085922,-1.9132229039626796,179,0
output_20250926-090047,-1.9132229549710402,179,0
output_20250926-090232,-1.9132229538294876,179,0
output_20250926-090356,-1.9132227713824532,179,0
output_20250926-090520,-1.913222954073495,179,0
output_20250926-090642,-1.9132229549810367,179,0
output_20250926-090800,-1.9132178434362341,179,0
output_20250926-090922,-1.9132229534384013,179,0
output_20250926-091048,-1.9131897003248244,179,0
output_20250926-091205,-1.9132221879531919,179,0
output_20250926-091330,-1.9132229549810367,179,0
output_20250926-091458,-1.9132229549810367,179,0
output_20250926-091619,-1.9132229488426882,179,0
output_20250926-091741,-1.9132229501997267,179,0
output_20250926-091904,-1.9132106817867398,179,0
output_20250926-092024,-1.9132229549808955,179,0
output_20250926-092151,-1.9131955488672343,179,0
output_20250926-092310,-1.9132220536739712,179,0
output_20250926-092423,-1.9132229549806943,179,0
output_20250926-092600,-1.9132229549809954,179,0
output_20250926-092721,-1.9132227773451351,179,0
output_20250926-092839,-1.9132224963342024,179,0
output_20250926-093000,-1.9132224265012567,179,0
output_20250926-093124,-1.9132227175260281,179,0
output_20250926-093311,-1.9132229443340707,179,0
output_20250926-093431,-1.9132229540759385,179,0
output_20250926-093555,-1.913222939651181,179,0
output_20250926-093716,-1.9132229489552515,179,0
output_20250926-093838,-1.9132229549810367,179,0
