run_id,run_dir,execution_time,generations,population_size,problem_dimension,num_objectives
1,output_20251001-065050,5.05,101,50,1,2
2,output_20251001-065111,5.05,101,50,1,2
3,output_20251001-065131,5.05,101,50,1,2
4,output_20251001-065151,5.05,101,50,1,2
5,output_20251001-065211,5.05,101,50,1,2
6,output_20251001-065230,5.05,101,50,1,2
7,output_20251001-065252,5.05,101,50,1,2
8,output_20251001-065312,5.05,101,50,1,2
9,output_20251001-065333,5.05,101,50,1,2
10,output_20251001-065353,5.05,101,50,1,2
11,output_20251001-065413,5.05,101,50,1,2
12,output_20251001-065433,5.05,101,50,1,2
13,output_20251001-065453,5.05,101,50,1,2
14,output_20251001-065513,5.05,101,50,1,2
15,output_20251001-065534,5.05,101,50,1,2
16,output_20251001-065552,5.05,101,50,1,2
17,output_20251001-065612,5.05,101,50,1,2
18,output_20251001-065632,5.05,101,50,1,2
19,output_20251001-065650,5.05,101,50,1,2
20,output_20251001-065709,5.05,101,50,1,2
21,output_20251001-065730,5.05,101,50,1,2
22,output_20251001-065748,5.05,101,50,1,2
23,output_20251001-065807,5.05,101,50,1,2
24,output_20251001-065826,5.05,101,50,1,2
25,output_20251001-065845,5.05,101,50,1,2
26,output_20251001-065903,5.05,101,50,1,2
27,output_20251001-065923,5.05,101,50,1,2
28,output_20251001-065942,5.05,101,50,1,2
29,output_20251001-070001,5.05,101,50,1,2
30,output_20251001-070021,5.05,101,50,1,2
31,output_20251001-070041,5.05,101,50,1,2
32,output_20251001-070101,5.05,101,50,1,2
33,output_20251001-070119,5.05,101,50,1,2
34,output_20251001-070139,5.05,101,50,1,2
35,output_20251001-070159,5.05,101,50,1,2
36,output_20251001-070219,5.05,101,50,1,2
37,output_20251001-070240,5.05,101,50,1,2
38,output_20251001-070300,5.05,101,50,1,2
39,output_20251001-070319,5.05,101,50,1,2
40,output_20251001-070338,5.05,101,50,1,2
41,output_20251001-070357,5.05,101,50,1,2
42,output_20251001-070417,5.05,101,50,1,2
43,output_20251001-070436,5.05,101,50,1,2
44,output_20251001-070455,5.05,101,50,1,2
45,output_20251001-070516,5.05,101,50,1,2
46,output_20251001-070536,5.05,101,50,1,2
47,output_20251001-070556,5.05,101,50,1,2
48,output_20251001-070617,5.05,101,50,1,2
49,output_20251001-070636,5.05,101,50,1,2
50,output_20251001-070657,5.05,101,50,1,2
51,output_20251001-070716,5.05,101,50,1,2
52,output_20251001-070735,5.05,101,50,1,2
53,output_20251001-070756,5.05,101,50,1,2
54,output_20251001-070817,5.05,101,50,1,2
55,output_20251001-070839,5.05,101,50,1,2
56,output_20251001-070859,5.05,101,50,1,2
57,output_20251001-070919,5.05,101,50,1,2
58,output_20251001-070941,5.05,101,50,1,2
59,output_20251001-071002,5.05,101,50,1,2
60,output_20251001-071022,5.05,101,50,1,2
61,output_20251001-071044,5.05,101,50,1,2
62,output_20251001-071104,5.05,101,50,1,2
63,output_20251001-071123,5.05,101,50,1,2
64,output_20251001-071142,5.05,101,50,1,2
65,output_20251001-071203,5.05,101,50,1,2
66,output_20251001-071224,5.05,101,50,1,2
67,output_20251001-071243,5.05,101,50,1,2
68,output_20251001-071303,5.05,101,50,1,2
69,output_20251001-071322,5.05,101,50,1,2
70,output_20251001-071340,5.05,101,50,1,2
71,output_20251001-071359,5.05,101,50,1,2
72,output_20251001-071418,5.05,101,50,1,2
73,output_20251001-071438,5.05,101,50,1,2
74,output_20251001-071458,5.05,101,50,1,2
75,output_20251001-071520,5.05,101,50,1,2
76,output_20251001-071540,5.05,101,50,1,2
77,output_20251001-071600,5.05,101,50,1,2
78,output_20251001-071621,5.05,101,50,1,2
79,output_20251001-071641,5.05,101,50,1,2
80,output_20251001-071703,5.05,101,50,1,2
81,output_20251001-071723,5.05,101,50,1,2
82,output_20251001-071743,5.05,101,50,1,2
83,output_20251001-071802,5.05,101,50,1,2
84,output_20251001-071820,5.05,101,50,1,2
85,output_20251001-071839,5.05,101,50,1,2
86,output_20251001-071858,5.05,101,50,1,2
87,output_20251001-071916,5.05,101,50,1,2
88,output_20251001-071935,5.05,101,50,1,2
89,output_20251001-071953,5.05,101,50,1,2
90,output_20251001-072014,5.05,101,50,1,2
91,output_20251001-072035,5.05,101,50,1,2
92,output_20251001-072055,5.05,101,50,1,2
93,output_20251001-072114,5.05,101,50,1,2
94,output_20251001-072133,5.05,101,50,1,2
95,output_20251001-072152,5.05,101,50,1,2
96,output_20251001-072211,5.05,101,50,1,2
97,output_20251001-072232,5.05,101,50,1,2
98,output_20251001-072252,5.05,101,50,1,2
99,output_20251001-072312,5.05,101,50,1,2
100,output_20251001-072332,5.05,101,50,1,2
