run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071939,8.237854842718662e-13,179,82
output_20250926-072104,6.047064602665575e-06,179,
output_20250926-072226,4.6629367034256575e-15,179,34
output_20250926-072352,6.335931779233306e-11,179,69
output_20250926-072515,9.160561198484629e-12,179,46
output_20250926-072645,2.220446049250313e-15,179,33
output_20250926-072813,8.934974649044136e-09,179,55
output_20250926-072944,5.922767317700917e-06,179,
output_20250926-073107,1.5261125696497402e-12,179,50
output_20250926-073227,3.675350591647586e-07,179,143
output_20250926-073409,4.43591512966357e-08,179,31
output_20250926-073531,5.573319583618286e-14,179,32
output_20250926-073653,8.174858576442956e-05,179,
output_20250926-073809,0.0,179,46
output_20250926-073931,0.00030390359296778025,179,
output_20250926-074050,1.239278600323468e-05,179,
output_20250926-074211,2.695465511992623e-05,179,
output_20250926-074338,1.8850449740315245e-05,179,
output_20250926-074501,1.494910222293866e-05,179,
output_20250926-074628,8.783627309938424e-07,179,87
output_20250926-074754,7.155540132641747e-08,179,35
output_20250926-074917,0.0,179,59
output_20250926-075039,0.0,179,25
output_20250926-075159,1.1102230246251565e-15,179,47
output_20250926-075319,1.3406309043229037e-05,179,
output_20250926-075459,2.53513882664258e-08,179,138
output_20250926-075632,4.5737736942552676e-05,179,
output_20250926-075757,1.7881447704759523e-05,179,
output_20250926-075931,3.2564776430987763e-09,179,84
output_20250926-080058,1.4272177883967174e-10,179,54
output_20250926-080227,7.42009065302085e-10,179,83
output_20250926-080351,2.888705354919807e-07,179,69
output_20250926-080511,1.412235328679401e-08,179,68
output_20250926-080633,6.815845835894674e-06,179,
output_20250926-080803,0.0,179,61
output_20250926-080923,5.3926282506666645e-06,179,
output_20250926-081045,0.00027314367476799495,179,
output_20250926-081207,2.932166554947546e-06,179,
output_20250926-081325,3.205067655720484e-08,179,149
output_20250926-081447,4.170324784946722e-06,179,
output_20250926-081608,4.356613149125721e-07,179,150
output_20250926-081723,3.109288701952373e-06,179,
output_20250926-081841,8.881784197001252e-15,179,86
output_20250926-082000,3.6467528996553256e-10,179,62
output_20250926-082132,2.317507735716262e-08,179,102
output_20250926-082253,2.506319926043332e-07,179,83
output_20250926-082407,6.439293542825908e-15,179,71
output_20250926-082530,1.980278065416563e-07,179,144
output_20250926-082656,6.47865094904887e-12,179,31
output_20250926-082817,4.6271875220327274e-12,179,68
output_20250926-082948,9.688099256166538e-08,179,105
output_20250926-083108,4.0167869030938164e-13,179,90
output_20250926-083233,5.198064201294983e-13,179,62
output_20250926-083356,3.1496911023776164e-08,179,108
output_20250926-083520,1.6870568830817945e-09,179,40
output_20250926-083644,1.2856382625159313e-13,179,79
output_20250926-083802,3.7969627442180354e-14,179,85
output_20250926-083918,2.2379126884963796e-09,179,9
output_20250926-084042,4.8238294692026784e-08,179,95
output_20250926-084210,2.0387183863324054e-07,179,89
output_20250926-084333,6.139311281572191e-12,179,43
output_20250926-084457,2.3710811092314543e-11,179,107
output_20250926-084616,0.0,179,55
output_20250926-084740,5.340450304203159e-12,179,42
output_20250926-084928,4.042182311092546e-09,179,136
output_20250926-085045,2.4150459410066105e-11,179,52
output_20250926-085212,9.986449445165135e-09,179,74
output_20250926-085336,7.956044711932009e-10,179,77
output_20250926-085506,1.7330524450520635e-06,179,
output_20250926-085644,0.0,179,51
output_20250926-085804,2.4424906541753444e-15,179,35
output_20250926-085922,4.978035761382671e-10,179,114
output_20250926-090047,3.959192973468362e-10,179,119
output_20250926-090233,9.325873406851315e-15,179,16
output_20250926-090356,2.6797508656528635e-11,179,97
output_20250926-090520,0.0006174493685680571,179,
output_20250926-090642,2.838124180115642e-11,179,35
output_20250926-090800,7.174322247394116e-11,179,40
output_20250926-090922,6.446639895263395e-05,179,
output_20250926-091048,4.68497543537616e-08,179,83
output_20250926-091205,2.220446049250313e-16,179,45
output_20250926-091330,1.0634696127165277e-05,179,
output_20250926-091458,2.3651044361971962e-05,179,
output_20250926-091619,6.784628455352992e-05,179,
output_20250926-091741,5.335731856348502e-13,179,86
output_20250926-091904,1.4642672291342862e-07,179,109
output_20250926-092024,3.8786621383457565e-05,179,
output_20250926-092151,1.7388681550212226e-07,179,42
output_20250926-092310,0.0,179,97
output_20250926-092423,3.3928699849639088e-09,179,87
output_20250926-092600,7.080403485737463e-10,179,24
output_20250926-092721,0.0,179,91
output_20250926-092839,0.0,179,27
output_20250926-093000,1.8988055572322082e-10,179,145
output_20250926-093124,4.424558597282413e-08,179,83
output_20250926-093311,1.3778186314095109e-08,179,152
output_20250926-093431,4.232918915381134e-08,179,21
output_20250926-093555,5.551115123125783e-15,179,86
output_20250926-093716,3.9291176455735766e-06,179,
output_20250926-093838,2.1931540074238143e-05,179,
