run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071938,-388.7153708084674,249,0
output_20250926-072104,-390.9404189680224,249,0
output_20250926-072226,-372.7319432295703,249,0
output_20250926-072352,-389.8687730937239,249,0
output_20250926-072515,-375.7682631232311,249,0
output_20250926-072645,-379.85290558743066,249,0
output_20250926-072813,-391.58835153525405,249,0
output_20250926-072945,-389.21283126906667,249,0
output_20250926-073107,-387.8634902022268,249,0
output_20250926-073227,-390.48836396356063,249,0
output_20250926-073410,-389.9881830625216,249,0
output_20250926-073532,-376.3702154716707,249,0
output_20250926-073653,-390.3147349701106,249,0
output_20250926-073809,-390.1518430220827,249,0
output_20250926-073932,-376.9263349871236,249,0
output_20250926-074050,-373.7446390291097,249,0
output_20250926-074211,-375.6770883059586,249,0
output_20250926-074338,-375.9800629466463,249,0
output_20250926-074501,-380.2373721106808,249,0
output_20250926-074628,-377.05293983931335,249,0
output_20250926-074755,-386.40331166725446,249,0
output_20250926-074917,-389.9031826059355,249,0
output_20250926-075039,-363.2822120482535,249,0
output_20250926-075159,-388.9434472198319,249,0
output_20250926-075319,-388.13690582234784,249,0
output_20250926-075459,-389.6747002555984,249,0
output_20250926-075632,-348.64193003130094,249,0
output_20250926-075757,-376.80777388140194,249,0
output_20250926-075932,-391.1665770776626,249,0
output_20250926-080058,-363.2902372289518,249,0
output_20250926-080228,-390.3283946178615,249,0
output_20250926-080351,-391.1083902887068,249,0
output_20250926-080511,-387.15858767675877,249,0
output_20250926-080633,-376.71739394353807,249,0
output_20250926-080803,-390.84076426421797,249,0
output_20250926-080923,-375.4585145927604,249,0
output_20250926-081045,-391.17646423090633,249,0
output_20250926-081207,-391.24592935841355,249,0
output_20250926-081325,-381.616408053822,249,0
output_20250926-081447,-390.5421123021082,249,0
output_20250926-081608,-388.22732935439944,249,0
output_20250926-081723,-361.76207171971976,249,0
output_20250926-081841,-375.99679900777227,249,0
output_20250926-082000,-374.8124635039421,249,0
output_20250926-082132,-391.3913226461794,249,0
output_20250926-082253,-372.2120836304018,249,0
output_20250926-082408,-376.22306498559533,249,0
output_20250926-082530,-391.44143083696423,249,0
output_20250926-082655,-380.1803975621788,249,0
output_20250926-082817,-389.8894749081976,249,0
output_20250926-082949,-388.2515368414065,249,0
output_20250926-083109,-389.20441198315075,249,0
output_20250926-083233,-374.2623308474949,249,0
output_20250926-083357,-390.78909270087127,249,0
output_20250926-083520,-388.85135101192367,249,0
output_20250926-083644,-386.41842067428564,249,0
output_20250926-083802,-389.09778976304085,249,0
output_20250926-083918,-357.65915812658244,249,0
output_20250926-084042,-388.8435307603243,249,0
output_20250926-084210,-389.7641901119217,249,0
output_20250926-084333,-390.0305993961485,249,0
output_20250926-084457,-390.3794191851585,249,0
output_20250926-084616,-373.60346650321094,249,0
output_20250926-084740,-390.496319992115,249,0
output_20250926-084928,-376.80166816332326,249,0
output_20250926-085045,-376.35332948565747,249,0
output_20250926-085212,-376.88556916620865,249,0
output_20250926-085335,-372.89215381634034,249,0
output_20250926-085506,-391.31746646812263,249,0
output_20250926-085644,-375.74128467841626,249,0
output_20250926-085804,-391.5131034703437,249,0
output_20250926-085921,-389.0667270927877,249,0
output_20250926-090047,-371.32278525693005,249,0
output_20250926-090233,-376.7662242965981,249,0
output_20250926-090356,-375.80648584616466,249,0
output_20250926-090520,-387.1096821678323,249,0
output_20250926-090642,-377.2661031403574,249,0
output_20250926-090800,-375.5454378401288,249,0
output_20250926-090922,-391.41901196022695,249,0
output_20250926-091048,-380.5275181777651,249,0
output_20250926-091205,-389.30971876663165,249,0
output_20250926-091329,-384.12825395402393,249,0
output_20250926-091458,-390.12168149604696,249,0
output_20250926-091619,-390.70152208266194,249,0
output_20250926-091741,-390.42213596496316,249,0
output_20250926-091904,-391.07115791241034,249,0
output_20250926-092024,-381.3271606110722,249,0
output_20250926-092151,-374.7043334933821,249,0
output_20250926-092310,-390.3611111686356,249,0
output_20250926-092423,-390.23309532707685,249,0
output_20250926-092601,-362.81811178427614,249,0
output_20250926-092721,-376.84386581888924,249,0
output_20250926-092839,-390.48019458690646,249,0
output_20250926-093001,-360.0812655864401,249,0
output_20250926-093124,-389.5431512734066,249,0
output_20250926-093311,-390.3104142696596,249,0
output_20250926-093431,-391.59691670923513,249,0
output_20250926-093555,-391.5108537180319,249,0
output_20250926-093716,-390.33160163673756,249,0
output_20250926-093838,-375.1462009568685,249,0
