run_dir,best_objective,final_iteration,first_success_iteration
output_20250926-071939,4.673518829423748e-11,149,15
output_20250926-072104,2.312480736128064e-13,149,17
output_20250926-072226,1.2078103308050879e-11,149,99
output_20250926-072352,8.13540711160518e-08,149,106
output_20250926-072515,4.105262646845402e-08,149,92
output_20250926-072645,9.634909906783786e-13,149,12
output_20250926-072813,6.259232973226227e-10,149,13
output_20250926-072944,8.646691113423929e-08,149,105
output_20250926-073107,4.440910551093112e-09,149,19
output_20250926-073228,1.9826697584090572e-17,149,16
output_20250926-073410,9.039017803121731e-05,149,
output_20250926-073532,1.0034486002727437e-10,149,62
output_20250926-073653,1.7006629417937086e-12,149,17
output_20250926-073809,2.182342831500762e-06,149,
output_20250926-073932,1.221513409031371e-07,149,58
output_20250926-074051,5.361062202638161e-07,149,100
output_20250926-074211,4.307815130412025e-11,149,19
output_20250926-074338,4.2395569880045645e-12,149,20
output_20250926-074500,1.9386215641305912e-10,149,22
output_20250926-074628,4.657407071667088e-15,149,20
output_20250926-074754,2.6929445804728455e-16,149,14
output_20250926-074917,1.799801103069933e-10,149,12
output_20250926-075039,3.7320888146046008e-06,149,
output_20250926-075159,1.8304981114404567e-07,149,75
output_20250926-075319,1.5107212510332792e-10,149,33
output_20250926-075459,1.84449135981379e-09,149,17
output_20250926-075632,2.3729092729374462e-08,149,44
output_20250926-075757,4.4581929165516975e-20,149,6
output_20250926-075931,2.7088065545817272e-12,149,15
output_20250926-080058,4.3776880661153035e-11,149,15
output_20250926-080227,5.661976813761328e-08,149,81
output_20250926-080351,8.067439091796836e-07,149,108
output_20250926-080511,6.28462728768514e-11,149,19
output_20250926-080633,2.7413155907671506e-07,149,51
output_20250926-080804,2.1024732861979387e-11,149,21
output_20250926-080923,1.7397837655918662e-14,149,14
output_20250926-081045,8.029640080423571e-11,149,15
output_20250926-081207,7.878449130566346e-19,149,18
output_20250926-081325,2.6903887487736226e-07,149,100
output_20250926-081446,1.0936219706308835e-09,149,16
output_20250926-081608,3.255746344187792e-10,149,44
output_20250926-081723,1.937615943717064e-07,149,125
output_20250926-081841,4.911095872094712e-13,149,16
output_20250926-082000,1.4449524668305308e-07,149,138
output_20250926-082132,1.4485375664451803e-07,149,74
output_20250926-082253,4.0480292723584106e-10,149,72
output_20250926-082408,3.552103717629012e-08,149,87
output_20250926-082530,9.036671928958971e-09,149,120
output_20250926-082655,1.7093186299457305e-18,149,28
output_20250926-082817,3.2197441959288116e-06,149,
output_20250926-082949,9.64168878271392e-07,149,107
output_20250926-083109,7.030961067622074e-10,149,13
output_20250926-083233,4.56860196730476e-14,149,21
output_20250926-083357,3.19188165984555e-08,149,141
output_20250926-083520,2.7858935871708597e-12,149,15
output_20250926-083644,8.713617855540647e-16,149,19
output_20250926-083802,1.7687181596178615e-13,149,13
output_20250926-083918,3.103870006767919e-07,149,135
output_20250926-084042,7.783792535358022e-16,149,45
output_20250926-084210,9.913219416617022e-10,149,16
output_20250926-084333,3.425208444736134e-08,149,67
output_20250926-084457,5.1300325121237475e-18,149,31
output_20250926-084616,5.2417816272311645e-06,149,
output_20250926-084740,3.401364215649518e-07,149,39
output_20250926-084928,4.427433593506439e-10,149,10
output_20250926-085045,1.514273138776055e-15,149,13
output_20250926-085212,1.2981043840336743e-15,149,113
output_20250926-085336,3.2229828576473303e-09,149,18
output_20250926-085506,9.003035152761749e-11,149,18
output_20250926-085644,1.5585679456169768e-05,149,
output_20250926-085804,1.240593176360524e-10,149,18
output_20250926-085922,5.398373750745169e-12,149,16
output_20250926-090047,7.282186270445371e-09,149,29
output_20250926-090233,3.5035698762414077e-10,149,18
output_20250926-090356,3.531986352825377e-06,149,
output_20250926-090520,6.746827722975268e-08,149,86
output_20250926-090642,2.5785987251443593e-09,149,21
output_20250926-090800,1.573230283050088e-08,149,94
output_20250926-090922,2.4157702333433674e-10,149,17
output_20250926-091048,1.1264163256016049e-10,149,14
output_20250926-091205,1.6428559030563309e-07,149,64
output_20250926-091330,2.4268137660364016e-07,149,64
output_20250926-091458,1.3300487467613445e-06,149,
output_20250926-091619,2.2290852242970514e-13,149,11
output_20250926-091741,1.7290066314312299e-06,149,
output_20250926-091904,2.9431316902413133e-07,149,93
output_20250926-092024,1.2532038313361596e-08,149,14
output_20250926-092151,6.871831981982839e-12,149,13
output_20250926-092310,2.1232095113705393e-08,149,85
output_20250926-092423,6.022259307654353e-09,149,24
output_20250926-092600,1.863815821513854e-12,149,14
output_20250926-092721,1.7072018079548346e-08,149,31
output_20250926-092839,6.758937203760449e-10,149,77
output_20250926-093000,7.567405796499758e-16,149,9
output_20250926-093124,1.2354106890435738e-10,149,13
output_20250926-093311,5.318954934594919e-07,149,142
output_20250926-093431,1.3705412560031938e-19,149,73
output_20250926-093555,2.3683827663463076e-11,149,17
output_20250926-093716,3.67473298247473e-07,149,144
output_20250926-093838,1.1310266964248368e-07,149,55
