run_name,final_generation,total_solutions,non_dominated_solutions,pareto_ratio,hypervolume,hypervolume_all,spacing
output_20250928-082317,250,100,94,0.94,10.664052867637327,10.660371466237875,0.007116725219468514
output_20250928-082342,250,100,99,0.99,10.665036558199935,10.665036558199935,0.00545972477151104
output_20250928-082408,250,100,96,0.96,10.66349447769384,10.661927195659803,0.0074694148503624816
output_20250928-082432,250,100,92,0.92,10.66637535290101,10.659988377086718,0.008191803816334572
output_20250928-082457,250,100,97,0.97,10.665352619825676,10.664814386346263,0.008231370622317779
output_20250928-082522,250,100,99,0.99,10.658100386053142,10.658100386053142,0.007166977114913426
output_20250928-082547,250,100,94,0.94,10.664609381315666,10.662500375766179,0.007863395127694756
output_20250928-082613,250,100,98,0.98,10.665602047236495,10.665602047236495,0.0056265160945163485
output_20250928-082638,250,100,100,1.0,10.66522365975535,10.66522365975535,0.007337615131554646
output_20250928-082702,250,100,97,0.97,10.664891613602878,10.66369844840046,0.007654136681233991
output_20250928-082727,250,100,100,1.0,10.480634339977815,10.480634339977815,0.010302266501475692
output_20250928-082754,250,100,84,0.84,10.665564911478919,10.65904489217493,0.006583706808224517
output_20250928-082819,250,100,99,0.99,10.662511146669253,10.662511146669253,0.006328916298614143
output_20250928-082844,250,100,100,1.0,10.664581209778126,10.664581209778126,0.008618632104069837
output_20250928-082902,250,100,93,0.93,10.665361867217875,10.66119579101693,0.008116523695429775
output_20250928-082926,250,100,98,0.98,10.663659541867576,10.663659541867576,0.004982799749191063
output_20250928-083013,250,100,100,1.0,10.665817075640566,10.665817075640566,0.006999279326528403
output_20250928-083044,250,100,94,0.94,10.664216578986727,10.663141392450312,0.0071197229929486
output_20250928-083111,250,100,100,1.0,10.662674884981175,10.662674884981175,0.007263149188008831
output_20250928-083155,250,100,100,1.0,10.663766801584,10.663766801584,0.0064665305793447
output_20250928-083229,250,100,100,1.0,10.6643770656074,10.6643770656074,0.006708671623433332
output_20250928-083305,250,100,97,0.97,10.664123725959534,10.664119594693064,0.008333023184217941
output_20250928-083345,250,100,91,0.91,10.664676884409067,10.660879776268175,0.008449475391028314
output_20250928-083417,250,100,96,0.96,10.6629097179468,10.662713545765888,0.007330980929044035
output_20250928-083501,250,100,98,0.98,10.666412221843416,10.666412221843416,0.009102575477803162
output_20250928-083537,250,100,98,0.98,10.665699219341338,10.665699219341338,0.006466752867683932
output_20250928-083606,250,100,95,0.95,10.667001246759687,10.663851229542,0.006985534869029675
output_20250928-083648,250,100,98,0.98,10.663139919140237,10.663139919140237,0.00805530624250305
output_20250928-083724,250,100,92,0.92,10.665840523452422,10.662158406449974,0.009942460451201101
output_20250928-083752,250,100,100,1.0,10.667086515692215,10.667086515692215,0.0062877073951078
output_20250928-083836,250,100,99,0.99,10.622681978623799,10.622681978623799,0.006840628054596664
output_20250928-083909,250,100,93,0.93,10.086902609888408,10.66207077422473,0.008709431781421789
output_20250928-083943,250,100,97,0.97,10.662902707930417,10.660927395716879,0.006824529362878191
output_20250928-084024,250,100,93,0.93,10.667710699723472,10.663321135599505,0.00970699393423475
output_20250928-084055,250,100,91,0.91,10.662975516228506,10.656212022145294,0.007471266441002293
output_20250928-084135,250,100,95,0.95,10.664226215656841,10.662428270674845,0.007105194518585795
output_20250928-084210,250,100,97,0.97,10.665174522205634,10.664826184083958,0.007572786698622709
output_20250928-084237,250,100,92,0.92,10.663317870084876,10.661282258191001,0.007439032793333367
output_20250928-084318,250,100,90,0.9,10.664249103178143,10.659876880661464,0.007430209611309564
output_20250928-084354,250,100,85,0.85,10.664699215401129,10.660802906714519,0.007664116184126616
output_20250928-084422,250,100,96,0.96,10.66639120164557,10.665664343544016,0.00918078468777963
output_20250928-084508,250,100,99,0.99,10.666730078974199,10.666730078974199,0.006530617219838149
output_20250928-084540,250,100,94,0.94,10.665205328907689,10.660652331654308,0.00809973918046672
output_20250928-084606,250,100,98,0.98,10.665615026234278,10.665615026234278,0.006339721602068265
output_20250928-084653,250,100,98,0.98,10.662821413261893,10.662821413261893,0.008571789380728615
output_20250928-084724,250,100,99,0.99,10.666774171141736,10.666774171141736,0.004878223482556826
output_20250928-084752,250,100,94,0.94,10.66252174471664,10.65964680665496,0.007045272114290344
output_20250928-084835,250,100,99,0.99,10.43804211394451,10.43804211394451,0.0071385420443121385
output_20250928-084904,250,100,98,0.98,10.664691885553388,10.664691885553388,0.007445377151058984
output_20250928-084933,250,100,94,0.94,10.66476750376038,10.660663668235204,0.008897854265193303
output_20250928-085010,250,100,96,0.96,10.66429091768711,10.663178325425795,0.007118925636486695
output_20250928-085049,250,100,96,0.96,10.66441268726089,10.661048819190755,0.0068707089661565295
output_20250928-085117,250,100,100,1.0,10.665019142211417,10.665019142211417,0.00609646396351446
output_20250928-085202,250,100,99,0.99,10.666457950999675,10.666457950999675,0.006870396428510805
output_20250928-085236,250,100,100,1.0,10.663789845320917,10.663789845320917,0.005028822880272587
output_20250928-085303,250,100,94,0.94,10.663876335956836,10.660842512171708,0.007609283028734821
output_20250928-085345,250,100,92,0.92,10.666603616063979,10.664010617131733,0.008698778080038536
output_20250928-085417,250,100,99,0.99,10.665502975439475,10.665502975439475,0.0067409761721804054
output_20250928-085444,250,100,88,0.88,10.665614533465572,10.660899034431413,0.007639181832925738
output_20250928-085529,250,100,100,1.0,10.663810062414544,10.663810062414544,0.0060940615529738425
output_20250928-085601,250,100,100,1.0,10.666216254019064,10.666216254019064,0.0066163075564437445
output_20250928-085628,250,100,95,0.95,10.666804711830085,10.665512114297151,0.0071398232285233
output_20250928-085705,250,100,97,0.97,10.665465438907763,10.665085154240016,0.007316860611417105
output_20250928-085743,250,100,100,1.0,10.660730492177084,10.660730492177084,0.005881950908180899
output_20250928-085810,250,100,94,0.94,10.664505695756349,10.663519431419553,0.007893440559600602
output_20250928-085845,250,100,97,0.97,10.664408400598669,10.66210254697497,0.006512603454353461
output_20250928-085925,250,100,100,1.0,10.664237376397375,10.664237376397375,0.005420903487791063
output_20250928-085954,250,100,100,1.0,10.663585733127517,10.663585733127517,0.008181394465717374
output_20250928-090029,250,100,97,0.97,10.66150673526633,10.661072015987836,0.0072990038501082495
output_20250928-090108,250,100,92,0.92,10.662932395794114,10.660487532517417,0.0073401790349867276
output_20250928-090137,250,100,100,1.0,10.664391197670458,10.664391197670458,0.007591301372365629
output_20250928-090221,250,100,94,0.94,10.665614688161636,10.663494194305454,0.010347072921816232
output_20250928-090254,250,100,100,1.0,10.665297632675722,10.665297632675722,0.006663712182207354
output_20250928-090322,250,100,95,0.95,10.668139139486554,10.665533007266026,0.007575615219978444
output_20250928-090358,250,100,100,1.0,10.66451636865041,10.66451636865041,0.00514561368832954
output_20250928-090438,250,100,99,0.99,10.665963198241494,10.665963198241494,0.006870302104644821
output_20250928-090459,250,100,95,0.95,10.663802399278088,10.662013919706094,0.008424966548476392
output_20250928-090546,250,100,100,1.0,10.361333628065003,10.361333628065003,0.006343033570930181
output_20250928-090621,250,100,87,0.87,10.664785737675349,10.660623079961617,0.007290756116314344
output_20250928-090657,250,100,99,0.99,10.663399021306208,10.663399021306208,0.005951554825369778
output_20250928-090738,250,100,100,1.0,10.665047975477801,10.665047975477801,0.006345359901625666
output_20250928-090807,250,100,100,1.0,10.663942156257267,10.663942156257267,0.0074561254633510885
output_20250928-090844,250,100,100,1.0,10.664014592694082,10.664014592694082,0.006528535992820821
output_20250928-090924,250,100,99,0.99,10.6658659799301,10.6658659799301,0.0067560245327672455
output_20250928-090952,250,100,95,0.95,10.663662426074284,10.66231889682202,0.007332458697022421
output_20250928-091033,250,100,88,0.88,10.66468255434915,10.66071431444704,0.007815472633686928
output_20250928-091112,250,100,100,1.0,10.664818333463806,10.664818333463806,0.006991130532760845
output_20250928-091140,250,100,90,0.9,10.665695112236651,10.66140990530911,0.007742285484976429
output_20250928-091223,250,100,91,0.91,10.666736795938943,10.659701633442033,0.0071999611329112345
output_20250928-091256,250,100,100,1.0,10.662739867354142,10.662739867354142,0.006813658028918976
output_20250928-091325,250,100,100,1.0,10.666394863560212,10.666394863560212,0.0065591861345929686
output_20250928-091400,250,100,96,0.96,10.663265183415575,10.662817307528762,0.006900909854752302
output_20250928-091442,250,100,100,1.0,10.6619652857495,10.6619652857495,0.006734448823908841
output_20250928-091511,250,100,100,1.0,10.665142659604282,10.665142659604282,0.005769239530750831
output_20250928-091545,250,100,90,0.9,10.666422552710582,10.664527305705283,0.008751210115822953
output_20250928-091627,250,100,100,1.0,10.66278971779737,10.66278971779737,0.006623837510344287
output_20250928-091657,250,100,99,0.99,10.66756521881041,10.66756521881041,0.006217158488603143
output_20250928-091725,250,100,95,0.95,10.663953268844416,10.662987720005594,0.007482762195801579
output_20250928-091807,250,100,100,1.0,10.6647365159317,10.6647365159317,0.005846302948619217
output_20250928-091842,250,100,83,0.83,10.664902588282896,10.660507279055194,0.008343015848632574
