run_id,run_dir,execution_time,generations,population_size,problem_dimension,num_objectives
1,output_20250928-223231,25.1,251,100,5,2
2,output_20250928-223255,25.1,251,100,5,2
3,output_20250928-223316,25.1,251,100,5,2
4,output_20250928-223343,25.1,251,100,5,2
5,output_20250928-223410,25.1,251,100,5,2
6,output_20250928-223436,25.1,251,100,5,2
7,output_20250928-223502,25.1,251,100,5,2
8,output_20250928-223529,25.1,251,100,5,2
9,output_20250928-223555,25.1,251,100,5,2
10,output_20250928-223621,25.1,251,100,5,2
11,output_20250928-223649,25.1,251,100,5,2
12,output_20250928-223717,25.1,251,100,5,2
13,output_20250928-223744,25.1,251,100,5,2
14,output_20250928-223810,25.1,251,100,5,2
15,output_20250928-223837,25.1,251,100,5,2
16,output_20250928-223902,25.1,251,100,5,2
17,output_20250928-223926,25.1,251,100,5,2
18,output_20250928-223950,25.1,251,100,5,2
19,output_20250928-224017,25.1,251,100,5,2
20,output_20250928-224043,25.1,251,100,5,2
21,output_20250928-224110,25.1,251,100,5,2
22,output_20250928-224136,25.1,251,100,5,2
23,output_20250928-224202,25.1,251,100,5,2
24,output_20250928-224227,25.1,251,100,5,2
25,output_20250928-224253,25.1,251,100,5,2
26,output_20250928-224319,25.1,251,100,5,2
27,output_20250928-224345,25.1,251,100,5,2
28,output_20250928-224412,25.1,251,100,5,2
29,output_20250928-224439,25.1,251,100,5,2
30,output_20250928-224505,25.1,251,100,5,2
31,output_20250928-224532,25.1,251,100,5,2
32,output_20250928-224558,25.1,251,100,5,2
33,output_20250928-224623,25.1,251,100,5,2
34,output_20250928-224650,25.1,251,100,5,2
35,output_20250928-224717,25.1,251,100,5,2
36,output_20250928-224744,25.1,251,100,5,2
37,output_20250928-224803,25.1,251,100,5,2
38,output_20250928-224829,25.1,251,100,5,2
39,output_20250928-224855,25.1,251,100,5,2
40,output_20250928-224921,25.1,251,100,5,2
41,output_20250928-224947,25.1,251,100,5,2
42,output_20250928-225012,25.1,251,100,5,2
43,output_20250928-225038,25.1,251,100,5,2
44,output_20250928-225105,25.1,251,100,5,2
45,output_20250928-225131,25.1,251,100,5,2
46,output_20250928-225157,25.1,251,100,5,2
47,output_20250928-225223,25.1,251,100,5,2
48,output_20250928-225251,25.1,251,100,5,2
49,output_20250928-225318,25.1,251,100,5,2
50,output_20250928-225344,25.1,251,100,5,2
51,output_20250928-225410,25.1,251,100,5,2
52,output_20250928-225437,25.1,251,100,5,2
53,output_20250928-225504,25.1,251,100,5,2
54,output_20250928-225530,25.1,251,100,5,2
55,output_20250928-225557,25.1,251,100,5,2
56,output_20250928-225624,25.1,251,100,5,2
57,output_20250928-225651,25.1,251,100,5,2
58,output_20250928-225716,25.1,251,100,5,2
59,output_20250928-225742,25.1,251,100,5,2
60,output_20250928-225809,25.1,251,100,5,2
61,output_20250928-225836,25.1,251,100,5,2
62,output_20250928-225902,25.1,251,100,5,2
63,output_20250928-225929,25.1,251,100,5,2
64,output_20250928-225955,25.1,251,100,5,2
65,output_20250928-230022,25.1,251,100,5,2
66,output_20250928-230049,25.1,251,100,5,2
67,output_20250928-230116,25.1,251,100,5,2
68,output_20250928-230142,25.1,251,100,5,2
69,output_20250928-230209,25.1,251,100,5,2
70,output_20250928-230234,25.1,251,100,5,2
71,output_20250928-230302,25.1,251,100,5,2
72,output_20250928-230328,25.1,251,100,5,2
73,output_20250928-230354,25.1,251,100,5,2
74,output_20250928-230421,25.1,251,100,5,2
75,output_20250928-230449,25.1,251,100,5,2
76,output_20250928-230516,25.1,251,100,5,2
77,output_20250928-230542,25.1,251,100,5,2
78,output_20250928-230607,25.1,251,100,5,2
79,output_20250928-230633,25.1,251,100,5,2
80,output_20250928-230659,25.1,251,100,5,2
81,output_20250928-230726,25.1,251,100,5,2
82,output_20250928-230754,25.1,251,100,5,2
83,output_20250928-230820,25.1,251,100,5,2
84,output_20250928-230846,25.1,251,100,5,2
85,output_20250928-230913,25.1,251,100,5,2
86,output_20250928-230939,25.1,251,100,5,2
87,output_20250928-231006,25.1,251,100,5,2
88,output_20250928-231033,25.1,251,100,5,2
89,output_20250928-231059,25.1,251,100,5,2
90,output_20250928-231125,25.1,251,100,5,2
91,output_20250928-231150,25.1,251,100,5,2
92,output_20250928-231216,25.1,251,100,5,2
93,output_20250928-231242,25.1,251,100,5,2
94,output_20250928-231308,25.1,251,100,5,2
95,output_20250928-231335,25.1,251,100,5,2
96,output_20250928-231354,25.1,251,100,5,2
97,output_20250928-231420,25.1,251,100,5,2
98,output_20250928-231445,25.1,251,100,5,2
99,output_20250928-231511,25.1,251,100,5,2
100,output_20250928-231537,25.1,251,100,5,2
