Complexity,Loss,Equation
30,0.034686834,abs(abs(abs(1.8626698 - abs(abs(3.0440187 - abs((phi + ((sqrt(0.43977848 / u_avg) + -1.2142289) / ar)) / -0.18428192)) + -0.4066447)) + -0.37922555) - 0.18653812) + -0.093743525
29,0.035655916,abs(0.17382708 - abs(abs(1.8260685 - abs(abs(abs(((((0.32748637 / u_avg) + -0.9025749) / ar) + phi) / -0.18762238) - 2.9789193) + -0.40350184)) + -0.36635888)) + -0.090552986
28,0.036726348,abs(abs(1.6633471 - abs(abs(2.7431982 - abs((((((eps_1 / u_avg) * 0.4325319) + -0.9294883) / ar) + phi) / -0.20352124)) + -0.369631)) + -0.31893674) + -0.16134888
27,0.038294543,abs(abs(1.6966299 - abs(abs(abs((phi + ((sqrt(0.42778143 / u_avg) + -1.2105113) / ar)) / 0.20234132) - 2.786049) + -0.36261913)) + -0.3427795) + -0.1713006
26,0.039076444,-0.16350093 + abs(abs(1.6765062 - abs(abs(abs(((((0.33085403 / u_avg) + -0.91537124) / ar) + phi) / -0.20482048) - 2.7380896) + -0.36257738)) + -0.33551422)
25,0.044540007,abs(0.23824067 - abs((phi - abs(abs((phi + (((0.3900489 / u_avg) + -1.0434718) / ar)) / 0.29377255) - 1.6880232)) + 0.83757013)) + -0.11181186
24,0.04586572,abs(abs(abs(2.216815 - abs((((sqrt(0.41651344 / u_avg) + -1.1900204) / ar) + phi) / 0.25220352)) + -1.6575341) + -0.25874308) + -0.1258014
23,0.04649624,abs(1.3915523 - abs(1.6424936 - abs(abs((phi + (((0.32292902 / u_avg) + -0.88887525) / ar)) / 0.25524053) - 0.544681))) + -0.122243
22,0.049213715,abs((phi + 0.6390236) - abs(1.4460014 - abs(((((0.39085093 / u_avg) + -1.0567845) / ar) + phi) / 0.34497204))) - 0.19932063
21,0.051502388,abs(abs(1.9215299 - abs(((((0.63416606 / sqrt(u_avg)) + -1.1951656) / ar) + phi) / 0.29366824)) + -1.4464213) + -0.22440985
20,0.051935427,abs(1.4434897 - abs(1.918847 - abs((phi + (((0.3217311 / u_avg) + -0.90606815) / ar)) / -0.29280993))) + -0.21971431
19,0.05590041,phi * (1.596514 - abs(2.0748603 - abs(((((0.38263792 / u_avg) + -1.0482538) / ar) + phi) / 0.24151745)))
18,0.057613652,1.2056084 - abs(1.4297262 - abs((u_avg * 0.26948687) - abs(((-0.6353576 / ar) + phi) / -0.31257072)))
17,0.06269068,abs(abs(((((0.31708843 / u_avg) + -0.8864943) / ar) + phi) / 0.37370917) - 0.33392406) + -0.15698484
15,0.06501486,abs(0.8781728 - ((3.3475804 - ((sqrt(u_avg) / 0.5557002) / ar)) * phi)) - 0.13790986
14,0.0689664,((phi - 0.2529961) * (3.5054884 - (sqrt(u_avg / 0.14299473) / ar))) - 0.271123
13,0.07056195,(phi - 0.36150673) * abs(3.9107249 - (sqrt(u_avg / 0.0739376) / ar))
12,0.070861824,(phi * (2.991541 - (log(u_avg / 0.20812152) / ar))) - 0.83829635
11,0.074410446,(phi * (sqrt(ar) + sqrt(0.56732595 / u_avg))) - 0.89787215
10,0.074913524,((sqrt(ar) + (0.5478469 / u_avg)) * phi) - 0.7672562
9,0.08058595,(phi * (2.9026794 - (1.7899152 / ar))) - 0.8154511
8,0.083670974,(phi * (sqrt(ar) + 0.5154844)) - 0.8248745
6,0.08916476,ar * (sqrt(phi) - 0.5990923)
5,0.11385294,ar * (phi - 0.4221984)
4,0.12363525,log(phi * 2.7951038)
3,0.15094483,phi * phi
1,0.17483538,phi
