Complexity,Loss,Equation
30,1379.9141,((sqrt(u_avg) * ((((ar * (-1.3870003 / lt_1)) + -462.15475) / phi) + 853.9211)) + (((ar / lt_1) * 1.7655247) - -1672.4916)) - (eps_0 * ((150.22725 / u_avg) + -74.18807))
29,1400.583,((sqrt(u_avg) * (((-460.8494 - ((1.3918976 * ar) / lt_1)) / phi) + 860.3802)) - -1702.3964) + (((ar / lt_1) * 1.7679062) - ((109.48677 / u_avg) * sqrt(eps_0)))
28,1419.9879,(sqrt(u_avg) * (((-456.41608 - ((ar / lt_1) * 1.4388841)) / phi) + 907.914)) + (((ar * (1.8486481 / lt_1)) - -1611.9489) - (eps_0 * (85.804665 / u_avg)))
26,1488.8022,(sqrt(u_avg) * (((-400.819 - (ar * (2.229547 / lt_1))) / phi) + 878.52734)) + (((ar / lt_1) * (4.0277095 - (1.0204961 / u_avg))) - -1512.4673)
24,1538.0771,(sqrt(u_avg) * ((((108.3638 - ((a_1 * 0.16174401) * lt_1)) / phi) + (((ar - -7.6948247) * u_avg) + -228.97517)) * -5.497691)) + 1412.082
23,1572.4631,((-662.42957 / u_avg) + ((((((eps_0 * -42.721813) + 395.44995) / u_avg) + (ar * (-0.42310983 / lt_1))) + -935.7442) / phi)) + 3317.003
22,1584.8684,(sqrt(u_avg) * (((-451.40704 - ((1.5388163 / lt_1) * ar)) / phi) + 983.803)) + ((ar * (2.047068 / lt_1)) - -1471.4492)
21,1616.4703,(((-671.1252 / u_avg) - (a_1 * -0.0887028)) + 3308.0664) + ((((382.265 / u_avg) + -967.5679) + (-1.6095511 / lt_1)) / phi)
20,1627.6447,(((((-537.0624 - ((ar * 0.37120733) / lt_1)) / phi) + 1521.1558) * sqrt(u_avg)) + (u_avg * -224.26918)) + 1307.5504
19,1644.1736,(-663.34644 / u_avg) + (((((ar * -0.4097883) / lt_1) + ((371.7118 / u_avg) + -941.15875)) / phi) + 3322.9504)
18,1688.9073,(((((-375.57336 - (10.041995 / lt_1)) / phi) - (-12.401003 / lt_1)) + 751.8286) * sqrt(u_avg)) + 1622.6637
17,1710.2119,(((((372.99567 / u_avg) + (-1.668956 / lt_1)) + -959.12445) / phi) + 3347.6956) + (-653.0652 / u_avg)
16,1756.3192,(sqrt(u_avg) * (((-534.13165 - (ar * (0.37319297 / lt_1))) / phi) + 996.2469)) + 1597.8661
14,1856.9485,((((-551.3712 - (1.4456905 / lt_1)) / phi) + 1007.66876) * sqrt(u_avg)) + 1619.705
13,1905.0695,(-632.2618 / u_avg) + ((((355.7972 / u_avg) + -981.09955) / phi) + 3333.8435)
12,2037.983,(((-385.29645 / (phi - 0.12448088)) + 858.03876) * sqrt(u_avg)) + 1612.4615
10,2070.2512,(sqrt(u_avg) * ((-580.42224 / phi) + 1014.4402)) + 1611.3881
9,2766.4443,(-690.2076 / phi) + ((-114.81562 / u_avg) + 2914.9246)
8,3068.6672,sqrt(phi) * (2298.84 - (151.77788 / u_avg))
7,4470.511,(-691.43445 / (-0.011602783 + phi)) + 2843.9575
5,4470.652,(-715.8591 / phi) + 2861.811
4,5201.041,sqrt(phi) * 2181.1484
3,17845.582,phi * 2547.737
1,29152.703,1837.608
