Complexity,Loss,Equation
29,2.397858e-05,((u_avg / ((phi + -0.406628) - ((((u_avg * ar) / (lt_1 / -0.29515895)) / phi) / (a_1 + (4.593294 / k_1))))) * 0.008391324) - (eps_1 * (phi * 0.025041876))
27,2.4896137e-05,((u_avg * 0.008435984) / ((phi + -0.40662777) - ((u_avg * ((ar / (lt_1 / -0.29514968)) / phi)) / (a_1 + 45.986336)))) - (eps_1 * (phi * 0.025228856))
26,2.4957484e-05,((u_avg * 0.008422477) / (phi + (-0.40572384 - ((((u_avg / (lt_1 / -0.27089232)) / phi) * ar) / a_1)))) - abs((phi * eps_1) * 0.025085414)
25,2.4957486e-05,((u_avg / ((phi + -0.40572384) - ((ar * ((u_avg / (lt_1 / -0.27089232)) / phi)) / a_1))) * 0.008422477) - ((phi * eps_1) * 0.025085414)
23,2.6357331e-05,(eps_1 * -0.019156508) - ((u_avg * -0.007719923) / (phi + (-0.4355965 - (ar * ((u_avg / a_1) / ((lt_1 / -0.24840939) * phi))))))
21,2.831941e-05,(eps_1 * -0.01897589) - ((u_avg * -0.0086026285) / (-0.40957883 + (phi - (ar * ((u_avg / a_1) / (lt_1 / -0.43594936))))))
20,2.8965373e-05,((eps_1 * -0.016885132) - (((u_avg * -0.014406444) + -0.039543673) / (((sqrt(ar) / a_1) / lt_1) + phi))) - 0.046092045
19,2.991844e-05,((eps_1 * -0.016233616) - (((u_avg * -0.014131709) + -0.03930863) / (((2.26411 / a_1) / lt_1) + phi))) - 0.04421964
17,3.103706e-05,(((u_avg * 0.014240378) + 0.040120173) / ((((eps_1 / lt_1) / a_1) * 3.2089431) + phi)) - 0.05727563
15,3.3543103e-05,(((u_avg * 0.011097479) + 0.02212015) / (((lt_1 * -1.0398734) / eps_1) + phi)) - 0.041372955
14,3.7571044e-05,-0.071617976 - ((((u_avg * -0.00071642303) * sqrt(a_1)) + -0.061158586) / (phi + 0.24088702))
12,3.789106e-05,-0.047185104 - ((((u_avg * sqrt(a_1)) * -0.00052798685) + -0.028334621) / phi)
11,4.256089e-05,-0.06356121 - (((u_avg * -0.015670784) + -0.048785113) / (phi + 0.15372775))
10,4.2594256e-05,((0.034648627 * sqrt(u_avg + 0.46376058)) / phi) + -0.04781213
9,4.2714062e-05,((0.028915156 - (u_avg * -0.012774606)) / phi) - 0.047812007
8,4.796888e-05,((sqrt(u_avg) * 0.033382513) / phi) + -0.03647887
7,5.212827e-05,((0.02943353 / phi) + -0.027479704) * u_avg
5,9.445302e-05,0.01037095 * (u_avg / phi)
3,0.00015080956,u_avg * 0.014017295
1,0.00021741167,0.020866387
