Complexity,Loss,Equation
29,0.029549813,((((phi - 0.51329523) * ((-0.44587794 - eps_0) / 0.90183)) + u_avg) + 0.09190615) * ((((((-0.016854757 / lt_1) + -4.325372) / phi) + 12.639172) / ar) + (-0.05732335 / eps_0))
27,0.029678881,(u_avg + ((phi - 0.58732283) * (-0.27383184 - (eps_0 / 0.696962)))) * ((-0.052672543 / eps_0) + (((((-0.01694352 / lt_1) + -4.311135) / phi) + 12.605535) / ar))
25,0.030363675,(u_avg - (eps_0 * ((phi - 0.5846922) / 0.56079346))) * ((-0.06141779 / eps_0) + (((((-0.016828211 / lt_1) + -4.1435456) / phi) + 12.382188) / ar))
24,0.030983081,((((-4.64646 / phi) + 12.567836) / ar) - (0.0028190012 / (lt_1 + -0.017528225))) * (u_avg - ((phi - 0.59506714) * (sqrt(eps_0) / 0.66299766)))
23,0.031155882,(u_avg + (-0.09655078 - (eps_0 * ((phi - 0.66735226) / 0.54740834)))) * ((((-4.493907 / phi) + 12.505678) / ar) + (-0.0066325814 / lt_1))
22,0.031353723,(u_avg - (((phi - 0.58986104) * sqrt(eps_0)) / 0.6603007)) * ((((-4.599553 / phi) + 12.6439295) / ar) - (0.0065552914 / lt_1))
21,0.03334267,((((-4.393651 / phi) + 12.227755) / ar) + (-0.006319786 / lt_1)) * (((eps_0 * (0.6042987 - phi)) / 0.55009097) + u_avg)
20,0.035192776,(u_avg - (sqrt(eps_0 / 0.42648593) * (phi - 0.5934589))) * ((((-4.678043 / phi) + 12.680548) / ar) - 0.10815967)
19,0.035326943,((-4.770691 / phi) + 12.5317135) * (((u_avg - (((phi - 0.65576184) * eps_0) / 0.50463384)) / ar) - 0.030208604)
18,0.036899842,(((-4.9642243 / phi) + 12.697784) * (u_avg - (sqrt(eps_0) * ((phi - 0.61307293) / 0.6261657)))) / ar
17,0.03874345,(12.250981 + (-4.7189074 / phi)) * ((u_avg - (eps_0 * ((phi - 0.6246895) / 0.52751714))) / ar)
15,0.042533115,((u_avg - ((phi - 0.61215717) * 1.1990099)) / ar) * ((-4.88076 / phi) + 12.573308)
13,0.049599934,(u_avg / ar) * ((((-1.3780947 / phi) + 2.4130754) * u_avg) + 4.304559)
11,0.054683693,(((u_avg + -0.7588495) * phi) + 0.4327896) / (ar * 0.12625544)
10,0.06255017,(sqrt(phi) * (6.890125 / ar)) * (u_avg + -0.17994627)
9,0.07764993,((-2.4178991 / phi) + 8.554327) * (u_avg / ar)
8,0.08435871,(sqrt(phi) * u_avg) * (6.1109643 / ar)
7,0.09774172,((u_avg * 6.157171) / ar) - 0.50937337
5,0.13965848,(u_avg * 5.29031) / ar
3,1.223805,u_avg * 1.6573085
1,1.8708642,2.5241027
