Complexity,Loss,Equation
29,0.00026152073,(exp(((-0.21451901 - sqrt(u_avg / ar)) / (phi * 0.7542987)) - ((phi * ((phi + -0.6582989) / u_avg)) * 1.4569359)) * 1.2530051) + (lt_1 * (a_0 * 0.0002242238))
27,0.00026249012,(exp(((-0.21516761 - sqrt(u_avg / ar)) / (phi * 0.75493366)) - (((phi + -0.65922713) * 1.4571998) * (phi / u_avg))) * 1.2516035) + (lt_1 * 0.25923502)
25,0.00026650357,exp(((-0.14687993 - sqrt(u_avg / (ar - -0.3765628))) / (phi * 0.68908674)) - ((phi * ((phi * 1.3324006) + -0.78430057)) / u_avg)) * 1.3121464
23,0.00027664038,exp(((-0.24220203 - sqrt(u_avg / ar)) / (phi * 0.8153077)) - ((phi + -0.6654575) * (phi * (1.4439719 / u_avg)))) * 1.2270687
22,0.0002859279,exp(((-0.14684705 - (sqrt(u_avg) / sqrt(ar))) / (phi * 0.83330667)) - ((((phi + -0.65994453) * phi) / u_avg) * 1.1026449))
21,0.00028592793,exp(((-0.14684705 - sqrt(u_avg / ar)) / (phi * 0.83330667)) - ((((phi + -0.65994453) * phi) / u_avg) * 1.1026449))
19,0.0003033891,exp(((-0.15042897 - sqrt(u_avg / ar)) / (phi * 0.83713096)) - (((phi + -0.6467248) / u_avg) * 0.8179153))
18,0.00033310452,exp(-1.3180791 - (((u_avg / (ar + -0.26492363)) + -0.14695859) / (-0.85282594 - (phi * -1.970377)))) + 0.102931865
17,0.00034802733,exp(-1.2833831 - abs(((u_avg / ar) + -0.13914119) / ((phi * -1.8110079) - -0.77171624))) + 0.09330402
16,0.00034906724,exp(-1.2827921 - (((u_avg / ar) + -0.13945678) / (-0.7932637 - (phi * -1.8623734)))) + 0.09054288
14,0.00036700413,exp(-1.0430077 - (((u_avg / ar) + -0.14443949) / ((phi * 3.054017) + -1.2993915)))
13,0.0004263825,0.4718104 - ((sqrt(sqrt(u_avg / ar)) + -0.4529196) / (phi / 0.44542062))
12,0.00043995865,exp(-0.86436695 - ((u_avg / ar) / (-0.6619374 - (phi * -2.1195207))))
11,0.00047871476,0.74206287 - sqrt(sqrt(u_avg / ar) / (phi / 0.26380715))
10,0.0004865086,0.494056 - (sqrt(u_avg / ar) / (phi / 0.26322925))
8,0.00059150404,(sqrt(ar / u_avg) * 0.2218741) * phi
7,0.0013954741,0.15311778 - ((ar * -0.03522357) / u_avg)
6,0.0014724338,sqrt(ar / u_avg) * 0.15504329
5,0.00212941,0.3232231 - (u_avg * 0.055728912)
4,0.0026974129,0.27127475 / sqrt(u_avg)
1,0.003016171,0.23926857
