Complexity,Loss,Equation
30,410995.47,abs(((((u_avg * 614.0282) - ((ar / lt_1) * -16.264244)) + -5173.017) + ((2748.215 / (ar * (eps_1 + -0.20049149))) + (1452.7023 / eps_0))) * ((u_avg / eps_1) - 0.7549187))
29,425990.7,((u_avg / eps_1) - 0.78635806) * (((((1435.1436 / eps_0) - (ar * (-15.902357 / lt_1))) + -4854.482) + (u_avg * 519.32825)) + (2710.037 / ((eps_1 + -0.20330799) * ar)))
28,437886.7,abs(((u_avg / eps_1) - 1.0302869) * ((((3392.96 / ((eps_1 + -0.17158498) * ar)) + (1689.1101 / eps_0)) + -4824.4204) - ((ar / lt_1) * -19.163834))) + 299.43588
26,457233.12,abs(((u_avg / eps_1) - 0.9684366) * (((1577.292 / eps_0) + (3139.166 / (ar * (eps_1 + -0.17944866)))) + (-4210.987 - (ar * (-17.386265 / lt_1)))))
25,485609.2,((u_avg / eps_1) - 0.90129864) * (((2919.6694 / (ar * (eps_1 + -0.19106178))) + ((1515.7517 / eps_0) - ((ar / lt_1) * -16.5559))) + -3998.7178)
24,561242.8,abs((0.98725975 - (u_avg / eps_1)) * ((-48.937176 / lt_1) - (((1680.4077 / eps_0) + (1945.6578 / ((eps_1 + -0.24909833) * ar))) - 3673.3533)))
23,597317.44,((u_avg / eps_1) - 0.91807854) * (((1626.8838 / eps_0) + ((1837.9453 / ((eps_1 + -0.25566632) * ar)) - (-46.02292 / lt_1))) + -3522.7454)
21,695349.3,abs(((1549.0033 / eps_0) + ((1735.3156 / ((sqrt(ar) * eps_1) + -0.301927)) - 2885.101)) * (0.9370548 - (u_avg / eps_1)))
20,716190.44,((1735.2766 / ((eps_1 * sqrt(ar)) + -0.29839984)) + ((1517.8363 / eps_0) - 2883.2795)) * ((u_avg / eps_1) - 0.8803696)
19,750519.56,(((1581.5792 / eps_0) - 2515.2185) + (1815.956 / ((eps_1 + -0.25500718) * ar))) * ((u_avg / eps_1) - 0.89542687)
18,915809.25,((u_avg / eps_1) - 0.88029546) * (((4244.403 / (eps_1 * sqrt(ar))) + (1463.5405 / eps_0)) - 4378.802)
17,961132.8,abs(((1078.1055 / ((eps_1 * sqrt(ar)) - 0.19426809)) * ((u_avg / eps_1) - 0.926339)) / eps_0)
16,979705.6,((((u_avg / eps_1) - 0.8750626) / ((sqrt(ar) * eps_1) - 0.1982962)) / eps_0) * 1047.292
15,1183221.9,abs(((((u_avg / (eps_1 * sqrt(ar))) * 1341.0116) / eps_1) - 1147.8969) / eps_0)
14,1230362.2,((u_avg / eps_1) - 0.9378719) * ((1465.9116 / (eps_1 * sqrt(ar))) / eps_0)
13,1662585.8,((((u_avg / eps_1) * 2166.7114) - 2244.1858) / (ar * eps_1)) / eps_0
12,1823204.8,exp(u_avg) * ((((1703.35 / eps_1) + -1683.5597) / eps_0) / ar)
11,2541221.8,((((6164.858 / eps_1) + -6113.802) / eps_0) * u_avg) / ar
10,3186814.8,((11789.705 / eps_1) + -12489.058) / (sqrt(ar) / u_avg)
9,3608187.8,u_avg * (((2697.7112 / eps_1) + -2587.515) / eps_0)
8,4629202.5,exp(u_avg) * ((2025.7379 / eps_1) + -2129.5508)
7,4843012.5,u_avg * ((7542.5684 / eps_1) - 7975.364)
6,6534447.5,(u_avg * log(eps_1)) * -9162.012
5,10012804.0,(11759.673 / eps_1) + -12600.103
4,11772799.0,log(eps_1) * -13782.725
3,17823340.0,3030.968 / eps_1
1,23489932.0,3539.3396
