Complexity,Loss,Equation
30,0.00011133183,u_avg / abs(((eps_1 + (((k_0 / (ar + -0.8048682)) * -0.43977597) + (abs(((ar / -1.8562908) + abs(ar + -2.0600653)) / 0.46785295) - ar))) * 0.024131868) + ar)
29,0.00011134855,u_avg / (ar + (((eps_1 + ((k_0 / (ar + -0.80180264)) * -0.43953672)) + (abs((abs(ar + -2.058463) + (ar / -1.8522493)) / -0.46677753) - ar)) * 0.024154447))
28,0.00011264808,abs(u_avg / (ar + ((eps_1 + (abs((abs(ar + -2.0399086) + (ar / -1.8432809)) / 0.45185155) + ((k_0 / (ar * -0.802759)) - ar))) * 0.023303134)))
27,0.00011281242,u_avg / ((((abs((abs(ar + -2.0423262) + (ar / -1.7478379)) / -0.46428618) + eps_1) + (((k_0 * -0.45093685) / eps_0) - ar)) * 0.023485545) + ar)
25,0.0001136962,u_avg / (ar + ((((k_0 * -0.9066315) + eps_1) + (abs(((ar / -1.7469277) + abs(ar + -2.0423262)) / 0.45924) - ar)) * 0.02359615))
24,0.0001162859,u_avg / (ar + (0.025129788 * (exp(k_0 * -1.9014794) + (abs((abs(ar + -2.043769) + (ar / -1.743597)) / 0.4915265) - ar))))
23,0.000117103096,u_avg / (ar - ((ar - ((eps_1 + -0.4537997) + abs((abs(ar + -2.0413868) + (ar / -1.826987)) / -0.40815234))) * 0.021756073))
21,0.00011847364,u_avg / ((((eps_0 + abs((abs(ar + -2.0865917) + (ar / -1.6427581)) / 0.5568912)) - ar) * 0.027582612) + ar)
19,0.00011971775,u_avg / (ar - ((ar - abs(((ar / -1.9063989) + abs(ar + -2.031014)) / 0.3222211)) * 0.016768793))
17,0.00012513186,((u_avg - 0.006485719) * ((sqrt(abs((ar + -2.1610558) / eps_1)) * 0.02236428) + 0.98796415)) / ar
15,0.00012621196,((sqrt(abs((ar + -2.1610515) / eps_1)) * 0.022029947) + 0.9844558) * (u_avg / ar)
13,0.00012854369,(u_avg * ((sqrt(abs(ar + -2.1574109)) * 0.02559448) + 0.9843943)) / ar
12,0.00013162682,((abs((ar + -2.215925) * 0.015184633) + 0.9935598) * u_avg) / ar
11,0.00013883044,u_avg * ((0.96457744 / (ar - 0.049710106)) + (ar * 0.0024520606))
9,0.00013943666,((0.9280946 / (ar - 0.07389599)) + 0.017577734) * u_avg
8,0.0001551887,u_avg / (ar - abs(k_0 * -0.020268856))
7,0.00015518871,u_avg / (ar - (k_0 * 0.020258449))
6,0.00015917237,abs(u_avg / (ar - 0.00798589))
5,0.0001591724,u_avg / (ar - 0.007982095)
3,0.00017652054,u_avg / ar
1,0.15781274,0.7091164
