Complexity,Loss,Equation
40,0.0015706882,(tanh((((phi * phi) / 0.1555563) ^ ar) * (eps_1 / (u_avg * 0.5385095))) ^ ((a_1 * ((phi * 1.3230652) - ar)) * (((sqrt(u_avg) * -0.019072663) / lt_0) - -0.42732748))) ^ (1.2448077 ^ ((sqrt(eps_1) * a_1) * 0.07756946))
39,0.0015875383,(tanh(((phi * (phi / 0.15555632)) ^ ar) * (eps_1 / (u_avg * 0.53850955))) ^ (a_1 * (u_avg * (((-0.019207755 / lt_0) - -0.5621815) * ((phi * 1.3230652) - ar))))) ^ (1.2448077 ^ (a_1 * (sqrt(eps_1) * 0.07779657)))
38,0.0016074615,(tanh((((phi * (phi / 0.155369)) ^ ar) / (u_avg * 0.54017967)) * eps_1) ^ (sqrt(u_avg) * (((phi * 1.3230653) - ar) * ((a_1 / lt_0) * -0.019798646)))) ^ (1.2398517 ^ (a_1 * (sqrt(eps_1) * 0.07684068)))
37,0.0016407387,(tanh((((phi * (phi / 0.15536278)) ^ ar) * eps_1) / (u_avg * 0.5402173)) ^ (a_1 * (u_avg * (((ar - (phi * 1.3230652)) * 0.016344707) / lt_0)))) ^ ((1.2422372 ^ sqrt(eps_1)) ^ (a_1 * 0.076835416))
36,0.0017383073,(tanh((eps_1 * (((phi * phi) / 0.15536869) ^ ar)) / (u_avg * 0.5401825)) ^ ((a_1 * -0.031528786) * (((phi * 1.3224596) - ar) / lt_0))) ^ sqrt(1.2211791 ^ ((sqrt(eps_1) * a_1) * 0.15869707))
35,0.0017456582,(tanh((((phi * phi) / 0.15536484) ^ ar) * (eps_1 / (u_avg * 0.54020745))) ^ ((((phi * 1.3227979) - ar) * (a_1 / lt_0)) * -0.022279816)) ^ (1.2426237 ^ ((a_1 * sqrt(eps_1)) * 0.076283626))
34,0.0019742982,(tanh((((phi * (phi / 0.15536416)) ^ ar) * eps_1) / (u_avg * 0.54021996)) ^ ((a_0 * ((phi * 1.3234867) - ar)) / -1.3092532)) ^ sqrt(1.2383517 ^ (sqrt(eps_1) * (a_1 * 0.16304985)))
33,0.0019812714,(tanh(eps_1 * ((((phi * phi) / 0.15536468) ^ ar) / (0.5402057 * u_avg))) ^ (-1.2247728 * (a_0 * ((1.3230656 * phi) - ar)))) ^ ((1.2388815 ^ sqrt(eps_1)) ^ (a_1 * 0.076865844))
32,0.0026685032,((tanh((eps_1 * (((phi * phi) / 0.15499061) ^ ar)) / (u_avg * 0.54333895)) ^ ((a_0 * -1.1242503) * ((phi * 1.3208566) - ar))) ^ (1.2179782 ^ (a_1 * 0.076782376))) ^ eps_1
31,0.002815725,((tanh(eps_1 * (((phi * (phi / 0.15555903)) ^ ar) / (u_avg * 0.5385108))) ^ eps_1) ^ (((ar * eps_1) ^ eps_1) - 0.6737077)) ^ (2.3898957 ^ sqrt(a_1 * 0.6073589))
30,0.0029176106,sqrt((tanh((eps_1 / (u_avg * 0.5401559)) * (((phi * phi) / 0.15536627) ^ ar)) ^ (((ar ^ eps_1) - 0.6882845) * eps_0)) ^ (2.3918855 ^ sqrt(a_1 * 0.67194605)))
29,0.0029289033,(tanh((eps_1 * ((phi * (phi / 0.15536475)) ^ ar)) / (u_avg * 0.5402081)) ^ (((ar ^ eps_1) - 0.68827444) * eps_0)) ^ (2.3918738 ^ sqrt(a_1 * 0.6150008))
28,0.003146019,sqrt(((tanh((eps_1 * ((phi * (phi / 0.15556371)) ^ ar)) / (u_avg * 0.538474)) ^ eps_1) ^ (ar - 0.85390574)) ^ (2.389898 ^ sqrt(a_1 * 0.62529695)))
27,0.0031544433,((tanh((((phi * phi) / 0.1555563) ^ ar) * (eps_1 / (u_avg * 0.5385124))) ^ eps_1) ^ (ar - 0.8537588)) ^ (2.3898957 ^ sqrt(a_1 * 0.57229996))
25,0.0033363563,tanh(((((phi * phi) / 0.15555903) ^ ar) * eps_1) / (u_avg * 0.5385108)) ^ (((eps_1 + 2.3687105) ^ (sqrt(a_1) * 0.5402008)) * ar)
23,0.0038371652,(tanh((((phi * phi) / 0.15555723) ^ ar) * (eps_1 / (u_avg * 0.5385132))) ^ eps_1) ^ (2.3898957 ^ (sqrt(a_1) * 0.7550953))
21,0.0044295425,tanh((((phi * phi) / 0.15554641) ^ ar) * (eps_1 / (0.5386214 * u_avg))) ^ (2.389691 ^ (sqrt(a_1) * 0.7403392))
20,0.0057519693,tanh((eps_1 * ((phi * (phi / 0.15340106)) ^ ar)) / (u_avg * 0.55543166)) ^ (1.3101423 ^ (0.10644772 * a_1))
18,0.007964476,tanh((((phi * (phi / 0.15772925)) ^ ar) * (eps_1 / 0.6754472)) / u_avg) ^ (a_1 * 208.52045)
16,0.008852243,tanh((((phi * phi) / 0.15519476) ^ ar) * (eps_1 / (u_avg * 0.543139))) ^ 5.1624045e6
15,0.015027043,tanh(((phi / 0.39231524) ^ ar) * (3.1389499 / sqrt(u_avg))) ^ (1.0499656e6 / eps_1)
13,0.016981507,tanh(((phi / 0.3902665) ^ ar) * (3.2948484 / sqrt(u_avg))) ^ 3.584461e6
12,0.032163456,tanh(((phi / 0.39927477) ^ ar) / 1.1737734) ^ (u_avg * 29.50896)
11,0.041531216,tanh(phi * (sqrt(ar) / 0.18930642)) ^ (u_avg * 8012.695)
10,0.04618361,tanh(((phi / 0.404906) ^ ar) / 1.0542035) ^ 57.973404
9,0.05443616,tanh(sqrt(ar) * (phi / 0.12405456)) ^ 3.1020302e6
8,0.06238355,cos(-0.53944415 / ar) ^ (phi ^ -6.832404)
7,0.08697551,(phi - 0.3647012) * (ar ^ 0.7250852)
6,0.08916476,ar * (sqrt(phi) - 0.5990923)
