Complexity,Loss,Equation
34,1189.238,((-4.4448166 / lt_1) + (((((ar + 52.32463) * phi) + ((abs((0.31438735 / lt_1) - (((phi * 60.045013) + -26.869356) / u_avg)) - (a_1 * 0.00877954)) * eps_0)) * -22.093985) + 3580.742)) * phi
33,1282.645,phi * (((((phi * 43.432064) + (eps_0 * ((abs((((phi * 43.319496) + -19.009453) / u_avg) - abs(0.23708709 / lt_1)) + ar) + -6.479908))) * -29.024836) + (-4.513776 / lt_1)) + 3616.59)
32,1282.6484,phi * (((-4.512779 / lt_1) + (((phi * 43.43096) + (eps_0 * (ar + (abs((((43.319344 * phi) + -19.009535) / u_avg) - (0.23707637 / lt_1)) + -6.4807315)))) * -29.023146)) + 3616.4736)
30,1381.1448,(-3.2454967 / lt_1) + ((((((abs((((phi * 51.194195) + -23.243927) / u_avg) - (0.25318038 / lt_1)) + -4.266943) * eps_0) + (phi * 57.17588)) * -23.382336) + 3664.0596) * phi)
29,1419.0798,((a_1 * ((ar * -0.019258818) + 0.15291913)) + (((eps_0 * -69.82731) + -689.6033) / u_avg)) + ((((435.1227 / u_avg) - 1088.8531) / ((lt_1 * 0.6688484) + phi)) + 3367.8682)
28,1463.8445,(((a_1 * (0.12575603 / ar)) + ((432.8376 / u_avg) - 1107.6127)) / (phi + tanh(lt_1 * 0.6683538))) + ((((eps_0 * -73.56592) + -685.5565) / u_avg) + 3414.013)
27,1463.8849,(((((432.74747 / u_avg) - 1107.5132) + ((a_1 * 0.12590091) / ar)) / ((lt_1 * 0.66761863) + phi)) + (((eps_0 * -73.702736) + -685.3473) / u_avg)) + 3413.8516
26,1504.4198,((((423.9228 / u_avg) - 1088.8091) / ((lt_1 * (0.9993511 / sqrt(ar / u_avg))) + phi)) + (-688.2539 / u_avg)) + (3343.598 - (a_1 * -0.09307544))
25,1507.6989,(((((431.66364 / u_avg) - 1091.4138) / (phi + (lt_1 * 0.66451067))) + 3367.907) + ((0.1496242 - (ar * 0.016975602)) * a_1)) + (-723.7305 / u_avg)
24,1526.8618,(-698.35144 / u_avg) + ((3350.8374 - (a_1 * -0.09433442)) + (((416.53226 / u_avg) - 1083.2849) / (phi + (lt_1 * sqrt(1.5441382 / ar)))))
23,1541.1823,((((374.82574 / u_avg) - 994.8427) / (((ar * -4.2863536) / a_1) + (phi + (lt_1 * 0.6725069)))) + (-657.9807 / u_avg)) + 3337.2778
22,1585.1031,(((421.23987 / u_avg) - 1105.1145) / (phi + tanh(lt_1 * 0.6638581))) + (((-697.5964 / u_avg) + 3381.2856) - (a_1 * -0.08747064))
21,1585.1421,(((421.24692 / u_avg) - 1105.0812) / ((lt_1 * 0.66265845) + phi)) + (((-697.6249 / u_avg) + 3381.2886) - (a_1 * -0.08752345))
20,1633.1134,(((406.79068 / u_avg) - 1075.9562) / (((lt_1 * 1.2483968) / sqrt(ar)) + phi)) + (3393.886 + (-680.16876 / u_avg))
19,1635.553,((-663.33136 / u_avg) + 3354.7725) + (((((lt_1 * 1.0397519) * a_1) + (377.2129 / u_avg)) - 1029.3192) / phi)
18,1675.9764,(((413.15518 / u_avg) - 1101.8638) / (tanh(lt_1 * 0.6894169) + phi)) + ((-680.7985 / u_avg) + 3423.32)
17,1676.0184,((-680.7985 / u_avg) + 3423.299) + (((413.1552 / u_avg) - 1101.8638) / (phi + (lt_1 * 0.6893922)))
15,1883.1438,(((phi / u_avg) * -466.47614) + 3344.1553) + (((147.34657 / u_avg) - 988.64905) / phi)
13,1905.0696,(((355.8502 / u_avg) - 981.14966) / phi) + ((-632.3322 / u_avg) + 3333.91)
12,2031.705,phi * ((((phi + -0.5569475) * -1891.7063) / sqrt(u_avg)) + 2848.124)
11,2217.0615,((phi * ((-253.00575 / u_avg) + -1461.9011)) + 3780.4534) * phi
10,2732.9377,(-223.84581 / sqrt(u_avg)) + (3016.679 - (688.8921 / phi))
9,2766.4438,((-114.81279 / u_avg) + 2914.9265) - (690.2103 / phi)
8,3068.6665,sqrt(phi) * (2298.821 - (151.75468 / u_avg))
7,4465.699,(-1.6235962e7 - (715.4883 / phi)) + 1.6238823e7
5,4470.652,(-715.94666 / phi) + 2861.9365
4,5201.041,sqrt(phi) * 2181.1501
3,17845.582,phi * 2547.737
1,29152.703,1837.6085
