Complexity,Loss,Equation
35,758035.9,abs((((19.618101 / (eps_0 ^ ar)) + abs(((10227.975 / ar) - -747.21985) * (((u_avg / (eps_1 ^ 2.849905)) - (phi * 1.3682126)) * phi))) * phi) * (eps_0 + ((-117.0736 / a_1) + -1.2461119)))
34,758344.5,abs((phi * ((-1.2280285 + (-115.59757 / a_1)) + eps_0)) * ((((phi * 1.3165432) - (u_avg / (eps_1 ^ 2.8634186))) * ((-773.0123 - (10221.998 / ar)) * phi)) + (19.400068 / (eps_0 ^ ar))))
33,828817.56,abs(((19.230455 / (eps_0 ^ ar)) + abs((1.0250589 - (u_avg / (eps_1 ^ 2.881779))) * ((-705.7317 - (10232.673 / ar)) * phi))) * ((phi * (eps_0 + -1.2417758)) + (-84.473434 / a_1)))
32,829752.2,abs(((19.229849 / (eps_0 ^ ar)) + (phi * (((10232.673 / ar) - -705.7317) * ((u_avg / (eps_1 ^ 2.8800156)) - 1.0292348)))) * (((eps_0 + -1.2435982) * phi) + (-84.47335 / a_1)))
31,864759.3,phi * (((0.955326 - (u_avg / (eps_1 ^ 2.910897))) * (((phi * (eps_0 + -1.2132628)) + (-83.62389 / a_1)) * ((10162.708 / ar) - -730.57135))) + (20.502869 / (eps_0 ^ ar)))
30,907684.1,phi * abs(((phi * ((u_avg / (eps_1 ^ 2.4002447)) - 2.013241)) + 0.9944297) * (((11478.469 / ar) - -1300.0094) * ((-146.23619 / a_1) + (eps_1 + (eps_0 + -1.834457)))))
29,911571.06,((phi * ((phi * ((u_avg / (eps_1 ^ 2.402882)) - 1.9662298)) + 0.97502583)) * (((-145.77222 / a_1) + -1.8270411) + (eps_0 + eps_1))) * (-1312.1293 - (11474.207 / ar))
28,943332.7,abs(((phi * ((-1377.9833 - (11024.014 / ar)) * phi)) * ((u_avg / (eps_1 ^ 2.8164814)) - (phi * 1.1873022))) * (((-112.223854 / a_1) + -1.0946084) + eps_0))
27,960083.06,(((-111.28946 / a_1) + -1.0806963) + eps_0) * ((((10914.956 / ar) - -1395.5815) * ((phi * 1.1178681) - (u_avg / (eps_1 ^ 2.836728)))) * (phi * phi))
26,1019136.94,abs(phi * (((((eps_0 + -1.1095601) * phi) + (-82.29722 / a_1)) * (-1253.1831 - (10944.856 / ar))) * ((u_avg / (eps_1 ^ 2.8476655)) - 0.89954233)))
25,1032483.06,(0.8496029 - (u_avg / (eps_1 ^ 2.863435))) * (((-80.85569 / a_1) + ((eps_0 + -1.096041) * phi)) * (((10931.264 / ar) - -1266.0826) * phi))
24,1158987.2,((11506.824 / ar) - -1002.2883) * abs(((eps_0 + -1.30692) * phi) * ((phi * ((u_avg / (eps_1 ^ 2.8576922)) - 2.3782835)) + 1.1147263))
23,1180443.9,phi * ((((((u_avg / (eps_1 ^ 2.875576)) - 2.3134215) * phi) + 1.1057295) * (eps_0 + -1.2885017)) * (-1019.0352 - (11475.57 / ar)))
22,1252434.9,(phi * (eps_0 + -1.3023834)) * (abs(0.95770407 - (u_avg / (eps_1 ^ 2.8531091))) * (-756.6684 - (phi * (11726.894 / ar))))
21,1272318.6,(((u_avg / (eps_1 ^ 2.8884401)) - 0.8826971) * (phi * (eps_0 + -1.2920084))) * (-752.379 - ((phi / ar) * 11404.347))
20,1456433.8,abs(((eps_0 + (phi * -1.6629759)) * (-0.29844192 - (((u_avg / (eps_1 ^ 2.9074028)) + -1.6704106) / ar))) * -8509.785)
19,1495911.9,(-540.6272 - (7308.043 / ar)) * (((phi * -1.6515858) + eps_0) * ((u_avg / (eps_1 ^ 2.8697577)) + -0.9052874))
18,1727486.6,abs(((u_avg / (eps_1 ^ 2.8470335)) + -1.0521877) * (((phi * -1.7368072) + eps_0) * (-8569.929 / ar)))
17,1774380.1,(-8285.249 / ar) * (((u_avg / (eps_1 ^ 2.8866704)) - 0.98304707) * ((phi * -1.731313) + eps_0))
16,2189930.2,((1.8877004e6 / ar) / (486.34708 ^ eps_1)) * abs((eps_0 * -0.56427515) + (u_avg * phi))
15,2200019.2,((eps_0 * -0.5458561) + (u_avg * phi)) * ((1.8881936e6 / ar) / (493.4382 ^ eps_1))
13,2705434.0,(((phi * u_avg) + -0.20962316) * (2.2353718e6 / (707.029 ^ eps_1))) / ar
11,3746083.8,(phi / (749.6179 ^ eps_1)) * (u_avg * (1.9120611e6 / ar))
10,6474640.5,exp(u_avg) * ((345762.62 / (a_1 ^ eps_1)) / ar)
9,7458822.0,u_avg * ((1.2341179e6 / (a_1 ^ eps_1)) / ar)
8,15288807.0,(exp(u_avg) * 105452.695) / (a_1 ^ eps_1)
7,16354560.0,u_avg * (376461.44 / (a_1 ^ eps_1))
5,30286594.0,555251.6 / (a_1 ^ eps_1)
3,63514140.0,5478.4683 / eps_1
1,81420984.0,6204.3823
