Complexity,Loss,Equation
35,2.2367136e-05,(((0.121049255 - (u_avg * ((a_1 * -3.095461e-5) - 0.030999534))) / phi) + -0.20286718) / sqrt(eps_1 / (0.07169062 - abs((0.0684803 - lt_1) * ((ar * (0.27696922 / phi)) - ((eps_1 + phi) / u_avg)))))
34,2.3116489e-05,(((0.120761454 - (((a_1 * -3.1264022e-5) - 0.031017808) * u_avg)) / phi) + -0.20278099) / sqrt(eps_1 / tanh(0.07082786 - abs((((ar / phi) * 0.27734318) - (1.3308562 / u_avg)) * (lt_1 - 0.06878798))))
33,2.3116516e-05,(((0.120761454 - (u_avg * ((a_1 * -3.1269286e-5) - 0.031017808))) / phi) + -0.20278099) / sqrt(eps_1 / (0.07082786 - abs((0.06878798 - lt_1) * ((1.3308562 / u_avg) - ((ar / phi) * 0.27734318)))))
31,2.4046587e-05,(((0.12422088 - (u_avg * ((a_1 * -3.1025895e-5) - 0.028234983))) / phi) + -0.20154606) / sqrt(eps_1 / (0.07238402 - abs((((0.27667716 ^ phi) * ar) - eps_1) * (lt_1 - 0.06868884))))
29,2.4856137e-05,(((0.12349907 - (((a_1 * -3.094657e-5) - 0.028988931) * u_avg)) / phi) + -0.2013288) / sqrt(eps_1 / (0.07199427 - abs((0.06868884 - lt_1) * (phi - (ar * 0.42719218)))))
28,2.5612522e-05,(((0.11110559 - (((a_1 * -2.7803888e-5) - 0.026464663) * u_avg)) / phi) + -0.18136524) / sqrt(eps_1 / (0.08560814 - ((phi - (ar * 0.4082492)) * (lt_1 - 0.074506216))))
27,2.5843061e-05,(((0.12124459 - (((a_1 * -3.2228992e-5) - 0.029632024) * u_avg)) / phi) + -0.19816086) / sqrt(eps_1 / (0.06878133 - abs(((lt_1 - 0.0680161) * ar) * -0.26960665)))
26,2.6167956e-05,(((0.10303498 - (((a_1 * -2.7156888e-5) - 0.025516246) * u_avg)) / phi) + -0.16968511) / sqrt(eps_1 / (0.111815386 - ((0.09294025 - lt_1) * (ar * 0.26549536))))
24,2.7015234e-05,((((u_avg * ((a_1 * 2.6358706e-5) + 0.024199924)) + 0.09828405) / phi) + -0.16223668) / sqrt(eps_1 / (lt_1 + (0.116691 / (1.5121866 ^ ar))))
23,2.7361328e-05,abs((((0.09652517 - (((a_1 * -2.598162e-5) + -0.023931732) * u_avg)) / phi) + -0.15892665) / sqrt(eps_1 / (lt_1 + (0.09650788 / ar))))
22,2.7386559e-05,(((0.095766775 - (((a_1 * -2.5873367e-5) + -0.023773609) * u_avg)) / phi) + -0.15793099) / sqrt(eps_1 / ((0.100968234 / ar) + lt_1))
21,2.8695096e-05,abs((((0.08558186 - (u_avg * ((a_1 * -2.3296416e-5) + -0.021742098))) / phi) + -0.13965333) / log((eps_1 / lt_1) * 1.1997422))
20,2.8719915e-05,(((0.08552384 - (((a_1 * -2.3505023e-5) + -0.021697078) * u_avg)) / phi) + -0.13973147) / log(eps_1 * (1.2029064 / lt_1))
19,2.93014e-05,(((0.054588363 - (((a_1 * -1.5265889e-5) - 0.013958323) * u_avg)) / phi) + -0.08948791) / sqrt(eps_1 / sqrt(lt_1))
18,2.9953786e-05,(((0.116343684 - (((a_1 * -3.0093659e-5) - 0.028807601) * u_avg)) / phi) + -0.18822813) / sqrt(eps_1 / lt_1)
16,3.16433e-05,((eps_1 * -0.07679893) + ((u_avg * 0.04055153) ^ phi)) / (1.0115886 / sqrt(lt_1 + 0.018035436))
15,3.1848547e-05,((eps_1 * -0.079376645) + ((u_avg * 0.04198013) ^ phi)) / (0.5479323 / (lt_1 + 0.08835997))
14,3.2308748e-05,((eps_1 * -0.07347619) + ((u_avg * 0.038668055) ^ phi)) / sqrt(0.7310921 / lt_1)
13,3.5952587e-05,(((u_avg * 0.044742003) ^ phi) + -0.06620414) / ((0.07567886 / lt_1) + 2.4779055)
12,3.6970912e-05,(((u_avg * 0.043245308) ^ phi) + -0.064226076) / sqrt(0.80601794 / lt_1)
11,3.7804642e-05,(((u_avg * 0.04344319) ^ phi) / 3.9234116) - (eps_1 * 0.020804485)
9,4.1927557e-05,(((u_avg * 0.04959314) ^ phi) + -0.07287791) / 4.1471877
8,4.796888e-05,(sqrt(u_avg) * (0.033382654 / phi)) + -0.03647917
7,5.212827e-05,u_avg * ((0.029433755 / phi) + -0.027480094)
5,9.445302e-05,(0.010370673 * u_avg) / phi
3,0.00015080956,u_avg * 0.014017285
1,0.00021741167,0.020866387
