Complexity,Loss,Equation
35,0.023053152,(((((u_avg - 0.074130625) + (((0.6118055 - phi) * eps_0) * 1.218382)) / ar) - 0.08245268) * ((4.354683 ^ phi) - (((u_avg / (phi ^ 6.6918902)) / ((lt_1 / a_1) / 1.9612003e-6)) + -3.6320436))) + 0.36264047
33,0.023449069,((4.3443456 ^ phi) - (((u_avg / (phi ^ 6.402725)) / ((lt_1 / a_1) / 1.9349604e-6)) + -3.605802)) * (((((eps_0 * ((0.6295489 - phi) * 1.3633059)) + u_avg) - 0.075992554) / ar) - 0.025060818)
31,0.024160534,(((u_avg / (phi ^ 6.1981)) / (lt_1 / -0.0013864568)) + ((4.2429776 ^ phi) - -3.7244027)) * ((((u_avg - 0.081095286) + (eps_0 * ((0.6335517 - phi) * 1.3816651))) / ar) - 0.025599707)
30,0.024955062,(((u_avg + (((0.5421596 - phi) * sqrt(eps_0)) * 1.1327181)) / ar) - 0.02440768) * (((4.3899355 ^ phi) + ((u_avg / (phi ^ 6.138127)) / (lt_1 / -0.0014237552))) - -3.6471744)
29,0.025418814,(((u_avg / (phi ^ 6.4452605)) / (lt_1 / -0.0011202672)) + ((4.3909473 ^ phi) - -3.5438108)) * (((u_avg + (((0.5862991 - phi) * eps_0) * 1.4436439)) / ar) - 0.034719832)
28,0.027146291,(((0.49407846 - phi) * sqrt(eps_0 * 1.1756256)) + u_avg) * ((((u_avg / (phi ^ 6.2771406)) / (lt_1 / -0.0012573516)) + ((4.5564547 ^ phi) - -3.3806486)) / ar)
27,0.028135005,((((u_avg + (eps_0 * -0.87472105)) / (phi ^ 6.363565)) / (lt_1 / -0.002352883)) - -6.942747) * (((u_avg + (eps_0 * (phi * -0.38868082))) / ar) - 0.0376177)
26,0.02835976,((((u_avg + (phi * (sqrt(eps_0) * -0.33430845))) / ar) - 0.12753999) * (((u_avg / (phi ^ 6.2967343)) / (lt_1 / -0.0023548268)) - -7.0470953)) + 0.65335685
25,0.02939068,(((u_avg / (phi ^ 5.6796646)) / (lt_1 / -0.0025459798)) - -6.996438) * ((((phi * ((-0.4891421 - eps_0) * 0.24114431)) + u_avg) / ar) - 0.026083551)
24,0.02947888,(((((phi * -0.34546003) * sqrt(eps_0)) + u_avg) / ar) - 0.025624562) * (((u_avg / (phi ^ 5.6750655)) / (lt_1 / -0.0025600505)) - -7.0026226)
23,0.030525306,(((phi + eps_0) * -0.18274671) + u_avg) * (((((u_avg / (phi ^ 5.7843246)) / (lt_1 * -451.0791)) - -7.177419) / ar) - 0.11845416)
22,0.03236012,((sqrt(eps_0) * -0.30337656) + u_avg) * (((((u_avg / (phi ^ 6.014971)) / (lt_1 / -0.0017723159)) - -6.981474) / ar) + -0.09952578)
21,0.032585766,((((eps_0 + phi) * -0.17398337) + u_avg) / ar) * (((u_avg / (phi ^ 5.8954716)) / (lt_1 * -451.0785)) - -6.8140526)
20,0.033845052,((sqrt(eps_0) * -0.29360405) + u_avg) * ((((u_avg / (phi ^ 5.9474316)) / (lt_1 / -0.0019804956)) - -6.710165) / ar)
19,0.03557288,((u_avg + -0.24332425) * ((((u_avg + -0.50554734) / (phi ^ 6.540048)) / (lt_1 / -0.0019770465)) - -6.7481513)) / ar
17,0.03669477,(u_avg + -0.22836742) * ((((u_avg / (phi ^ 6.07575)) / (lt_1 / -0.0018391734)) - -6.7196546) / ar)
16,0.041018113,((u_avg + (eps_0 * (abs(phi - 0.6313521) * -1.8521978))) * (phi / ar)) / 0.12840877
15,0.04272409,((u_avg - (((phi ^ 4.8692994) * eps_0) / 1.1268275)) * (phi / ar)) / 0.1279383
14,0.046031423,((abs(0.63320017 - phi) * -1.1860893) + u_avg) * ((phi / ar) * 7.8414044)
13,0.047110688,phi * (((u_avg - ((phi ^ 4.606263) * 0.5550001)) / 0.12632364) / ar)
12,0.05421459,((9.0288315 - exp(0.8218967 / phi)) * (u_avg + -0.17788014)) / ar
11,0.05468329,(((u_avg + -0.75982255) * phi) - -0.43299583) / (ar / 7.9246335)
10,0.062550165,(sqrt(phi) * (u_avg + -0.17993243)) / (ar / 6.8900604)
9,0.07764993,(8.554291 - (2.417895 / phi)) * (u_avg / ar)
8,0.084358715,(sqrt(phi) * u_avg) / (ar / 6.1109314)
7,0.09774172,((u_avg * 6.1571884) / ar) - 0.5093777
5,0.13965848,(u_avg * 5.29031) / ar
3,1.223805,u_avg * 1.6573085
1,1.8708642,2.523861
