Complexity,Loss,Equation
34,0.00013471884,tanh(sqrt(ar * (0.033107847 / sqrt(u_avg))) - (abs((u_avg / (phi - ((tanh(lt_1 / -0.33472285) + 0.530116) / (eps_1 ^ 0.110800155)))) + ((phi - (lt_1 * 7.651003)) / -0.18806067)) * 0.014762474))
33,0.00013508029,tanh(sqrt((ar * 0.033063885) / sqrt(u_avg)) - abs(((u_avg / (phi - (((lt_1 / -0.3348835) + 0.5299504) / (eps_1 ^ 0.10712629)))) + ((phi - (lt_1 * 7.6510024)) / -0.18825151)) * 0.014885914))
32,0.00013921273,sqrt((ar * 0.030751934) / sqrt(u_avg)) - (abs((u_avg / ((phi - ((lt_1 / -0.39500433) + 0.5254609)) ^ (eps_1 ^ -0.16709635))) + ((phi - (lt_1 * 7.071951)) / -0.18776898)) * 0.012430799)
29,0.00014695153,tanh(sqrt((ar * 0.033235267) / sqrt(u_avg))) - abs(((((lt_1 * 7.43201) - phi) / -0.19448574) + (u_avg / (0.5341482 - (phi - (lt_1 / -0.33310893))))) * 0.014710754)
28,0.00015476294,sqrt((ar * 0.030877387) / sqrt(u_avg)) - abs(-0.0137035735 * ((u_avg / ((phi - (lt_1 / -0.3580715)) - 0.5343633)) + ((phi - (lt_1 / 0.13650511)) / -0.19133571)))
27,0.0001697437,tanh(sqrt(ar * (0.03221693 / sqrt(u_avg))) - abs(((u_avg / ((lt_1 * (eps_1 / -0.5933401)) + (0.48660672 - phi))) - (phi / -0.353227)) * -0.012874978))
26,0.00017313371,sqrt((ar * 0.03019061) / sqrt(u_avg)) - abs(((u_avg / (phi - ((eps_1 * (lt_1 / -0.6067991)) + 0.48663706))) + (phi / -0.33994427)) * 0.012028746)
25,0.00017851089,tanh(sqrt(ar * (0.03241054 / sqrt(u_avg)))) - (abs((phi / -0.3594661) + (u_avg / (phi - ((lt_1 / -0.6182767) + 0.48681194)))) * 0.013433152)
24,0.00018447363,(sqrt(ar / sqrt(u_avg)) * 0.17347316) - abs(((phi / 0.34654433) + (u_avg / (((lt_1 / -0.62022275) + 0.492946) - phi))) * 0.012688844)
23,0.00019791434,tanh(sqrt((ar * 0.03184213) / sqrt(u_avg)) - abs(((u_avg / ((phi - (lt_1 * -1.4825652)) - 0.49096674)) - 2.2131617) * -0.013573891))
22,0.00020502106,(sqrt(ar / sqrt(u_avg)) * 0.17271017) - abs((0.012414893 * (u_avg / (((lt_1 / -0.6863043) + 0.49309385) - phi))) + 0.028180245)
21,0.00021019379,((u_avg * 0.012375806) / (((lt_1 / -0.67163193) - phi) + 0.4919831)) + ((sqrt(ar / sqrt(u_avg)) * 0.16170244) - -0.04468465)
20,0.00022267664,tanh(sqrt(ar / sqrt(u_avg)) * 0.1942088) + ((u_avg * 0.0116246) / (((lt_1 / -0.69553626) + 0.49632642) - phi))
19,0.00023030578,sqrt(ar / sqrt(u_avg)) * (((u_avg * 0.008049594) / (0.48252824 - (phi - (lt_1 / -0.6142806)))) + 0.18932042)
18,0.00025539676,((0.03354651 * ar) ^ (((-0.02822728 + tanh(u_avg * 0.06595301)) / (phi - 0.4026117)) - -0.5245102)) - -0.05415621
17,0.00025550643,((ar * 0.03270112) ^ ((((u_avg * 0.06611325) + -0.027824586) / (phi - 0.4026662)) - -0.5246274)) - -0.059230067
16,0.00025812045,(ar * 0.026811894) ^ (tanh(((0.049623493 * u_avg) + -0.01724213) / (phi - 0.38795185)) - -0.4034545)
15,0.0002604537,(ar * 0.026230711) ^ ((((u_avg + -0.37300098) / (phi - 0.37895837)) * 0.049331926) - -0.40537873)
13,0.00029810666,(ar * 0.027586376) ^ (((u_avg / (0.2974834 - phi)) * -0.06400871) - -0.35513395)
12,0.000375903,sqrt(ar * (sqrt(phi / sqrt(u_avg)) - 0.56171364)) * 0.30042115
11,0.0004065233,sqrt(ar * ((phi / sqrt(u_avg)) - 0.2823255)) * 0.24296494
10,0.0004865086,((sqrt(u_avg / ar) * -0.2632464) / phi) - -0.49407375
9,0.0005680641,tanh(phi * (sqrt(ar / u_avg) * 0.22747964))
8,0.00059150404,(phi * sqrt(ar / u_avg)) * 0.22187412
7,0.0013954741,0.15311648 - ((ar * -0.03522461) / u_avg)
6,0.0014724338,sqrt(ar / u_avg) * 0.15504329
5,0.00212941,(u_avg * -0.055728912) + 0.3232231
4,0.0026974129,sqrt(0.073596396 / u_avg)
1,0.003016171,0.23926423
