Complexity,Loss,Equation
35,262663.34,((((10.657699 / lt_0) / eps_1) + (((1907.9698 - ((u_avg * ((-1.929231 / lt_1) - ((242.21515 / ar) / ar))) / (eps_1 ^ (eps_0 - -3.15043)))) + (-9.665854 / lt_0)) / eps_0)) + -2365.6792) * u_avg
34,282589.53,abs(u_avg * (((((-10.3665085 / lt_0) + 1887.7314) - ((u_avg * ((-2.1237116 / lt_1) - ((265.037 / ar) / ar))) / (eps_1 ^ 3.4047227))) / eps_0) + (((11.731507 / lt_0) / eps_1) + -2352.79)))
33,282592.97,u_avg * ((((11.731507 / lt_0) / eps_1) + -2352.79) + ((((-10.3665085 / lt_0) + 1887.7314) - ((u_avg * ((-2.1237116 / lt_1) - ((265.037 / ar) / ar))) / (eps_1 ^ 3.4047227))) / eps_0))
32,304359.6,abs(u_avg * ((((((-1.6712486 / lt_0) - (u_avg * (((-1.9708357 / lt_1) - ((258.04858 / ar) / ar)) / (eps_1 ^ (eps_0 - -2.0131245))))) + 809.8407) / eps_0) / eps_1) + -828.99585))
31,304478.6,(((((-1.6644874 / lt_0) + (808.5792 - ((((-1.9679073 / lt_1) - ((257.72296 / ar) / ar)) * u_avg) / (eps_1 ^ (eps_0 - -2.0150657))))) / eps_0) / eps_1) + -826.5) * u_avg
30,347364.2,abs((-741.80426 + ((((769.12714 + (-1.6619959 / lt_0)) - (((-2.1449258 / lt_1) - ((273.9226 / ar) / ar)) * (u_avg / (eps_1 ^ 2.3238482)))) / eps_0) / eps_1)) * u_avg)
29,347373.66,((((((-1.6592158 / lt_0) + 768.4553) - (u_avg * (((-2.143148 / lt_1) - ((273.7345 / ar) / ar)) / (eps_1 ^ 2.3249073)))) / eps_0) / eps_1) + -740.0025) * u_avg
28,377039.9,abs(((((((((5.0630918 / lt_1) - (((-326.1012 / ar) / ar) / eps_1)) * u_avg) + 313.5968) / eps_1) / eps_0) / eps_1) - (5.4463844 / lt_0)) * u_avg)
27,381022.6,u_avg * ((((((((5.036497 / lt_1) - (((-325.93552 / ar) / ar) / eps_1)) * u_avg) + 312.5426) / eps_1) / eps_0) / eps_1) - (5.289396 / lt_0))
25,431676.1,((((558.49115 - ((u_avg * ((-2.1810968 / lt_1) - ((271.18277 / ar) / ar))) / (eps_1 ^ 2.3607223))) / eps_0) / eps_1) + -693.9435) * u_avg
24,472157.16,(u_avg * ((2.7465909 / lt_1) + (296.35275 / ar))) * abs((((u_avg + 1.0965785) / eps_0) / (eps_1 ^ 2.4543834)) + (-0.020016922 / lt_0))
23,472416.88,((2.7381916 / lt_1) + (295.8455 / ar)) * (u_avg * ((((u_avg + 1.0933579) / eps_0) / (eps_1 ^ 2.457955)) + (-0.019792238 / lt_0)))
21,514744.25,((((u_avg + 1.0506443) / eps_0) / (eps_1 ^ 2.480148)) + -2.1161642) * (((296.21927 / ar) + (2.7286043 / lt_1)) * u_avg)
20,534255.4,(((u_avg / (eps_1 ^ 2.4914691)) / eps_0) + -1.2810144) * (((5.845111 / lt_1) + (630.9374 / ar)) * sqrt(u_avg))
19,577187.3,(u_avg + 0.8147696) * ((u_avg * (((246.1085 / ar) + (2.1730185 / lt_1)) / eps_0)) / (eps_1 ^ 2.7945163))
17,618959.4,(u_avg * ((((u_avg / ar) * 349.8938) + (5.9423046 / lt_1)) / eps_0)) / (eps_1 ^ 2.7969608)
16,840644.75,((((478.64392 / ar) + 96.40641) * (u_avg * sqrt(u_avg))) / (eps_1 ^ 2.7468054)) / eps_0
15,858837.75,((u_avg * (((u_avg / ar) * 342.4528) + 133.10094)) / eps_0) / (eps_1 ^ 2.751635)
14,1025573.6,((u_avg / sqrt(ar)) ^ 1.5281131) * ((560.0645 / (eps_1 ^ 2.7704966)) / eps_0)
13,1294387.0,(((u_avg * 398.7214) / sqrt(ar)) ^ (tanh(eps_1) ^ -0.41585943)) / eps_0
12,1333817.8,(((u_avg / sqrt(ar)) * 723.47705) ^ (eps_1 ^ -0.3346266)) / eps_0
11,1771808.4,((u_avg * 919.0836) ^ (eps_1 ^ -0.32734817)) / (ar * eps_0)
10,2287913.5,((u_avg / sqrt(ar)) * 1176.8993) ^ (eps_1 ^ -0.38160375)
9,2627325.5,((u_avg * 1510.9672) ^ (eps_1 ^ -0.36958194)) / ar
8,4127623.5,(log(eps_1) * (u_avg * -3960.3723)) / eps_0
7,4346863.5,(4834.1323 / (eps_1 ^ u_avg)) - 4794.959
6,6534447.5,(log(eps_1) * -9161.911) * u_avg
5,9335076.0,2656.4973 / (eps_1 ^ u_avg)
4,11772798.0,log(eps_1) * -13782.738
3,17823340.0,3030.4084 / eps_1
1,23489932.0,3539.3416
