Complexity,Loss,Equation
34,0.000109852124,tanh((0.52097124 / ((ar + ((((((lt_1 / eps_1) - 0.0248695) / (eps_0 + -0.23611252)) * (-0.55701584 / eps_1)) - k_0) * 0.022242285)) - 0.7066063)) - (-0.17581312 - (ar * -0.018146198))) * (u_avg + -0.0050839707)
32,0.00011001105,(u_avg + -0.0053654104) * tanh((0.5196663 / (ar + ((((((lt_1 / eps_1) / eps_1) * -0.01089917) / (eps_0 + -0.22728814)) - (k_0 * 0.022057569)) - 0.7066929))) - (-0.17725529 - (ar * -0.01840117)))
31,0.000110527435,(u_avg + -0.0061557903) * abs(tanh((0.5203266 / ((ar - 0.71368766) - (((lt_1 * k_0) / (eps_0 ^ ((0.28678223 / eps_0) / eps_1))) * 0.16719776))) - (-0.17639913 - (ar * -0.018197427))))
30,0.00011052747,(u_avg + -0.006155838) * tanh((0.5203266 / ((ar - 0.71368766) - ((k_0 * 0.16719776) * (lt_1 / (eps_0 ^ ((0.28678223 / eps_0) / eps_1)))))) - (-0.17639925 - (ar * -0.018197456)))
28,0.00011072626,tanh(((0.5181721 / ((ar - 0.7125135) - (((k_0 * lt_1) * 0.17612146) ^ (eps_0 ^ (0.14498071 ^ eps_1))))) - -0.1778168) - (ar * 0.018446455)) * (u_avg + -0.004648972)
27,0.000111502144,(u_avg + -0.0050232187) * tanh(((0.5202092 / (ar - (((k_0 * 0.030258713) ^ sqrt((eps_0 + eps_1) ^ ar)) + 0.71369904))) - -0.17703852) - (ar * 0.018384362))
26,0.00011154507,tanh((0.5178331 / (ar - ((((lt_1 * 0.17759223) * k_0) ^ (eps_0 ^ (0.1409467 ^ eps_1))) + 0.70932865))) - (-0.17776164 - (ar * -0.018574534))) * u_avg
25,0.00011257568,tanh((0.52207273 / (tanh((((lt_1 * k_0) * -0.14372483) / eps_1) / eps_0) + (ar - 0.7068325))) - (-0.17460601 - (ar * -0.018085646))) * u_avg
24,0.00011257593,tanh((0.52207273 / ((ar - 0.7068325) + (((lt_1 * (k_0 * -0.14372481)) / eps_1) / eps_0))) - (-0.17460614 - (ar * -0.018085942))) * u_avg
23,0.00011388133,u_avg * abs(tanh((0.5223144 / ((((k_0 * -0.00825907) / eps_1) / eps_0) + (ar - 0.7059662))) - (-0.17454128 - (ar * -0.018071279))))
22,0.00011388136,u_avg * tanh((0.5223144 / (((((k_0 * -0.008259145) / eps_1) / eps_0) - 0.7059662) + ar)) - (-0.17454143 - (ar * -0.018071363)))
21,0.00011536164,u_avg * tanh((0.51753265 / (((-0.019627625 / (eps_1 / sqrt(k_0))) + ar) - 0.7019846)) - (-0.17826232 - (ar * -0.01867998)))
20,0.00011594447,u_avg * tanh((0.52201 / ((ar + (-0.018661207 / (eps_1 / k_0))) - 0.70490444)) - (-0.17482421 - (ar * -0.018103966)))
18,0.00011867075,tanh((ar * -0.01847876) + ((0.5214332 / (ar + ((k_0 * -0.02116099) - 0.70600635))) - -0.17639913)) * u_avg
16,0.00012122733,(u_avg + -0.005018129) * tanh((0.5238301 / (ar + -0.71646386)) - (-0.1751461 - (-0.018171806 * ar)))
14,0.00012195783,u_avg * tanh((0.5245434 / (ar - 0.712462)) - (-0.17379545 - (-0.01804118 * ar)))
12,0.00012785856,(ar * u_avg) * (tanh((1.7423542 / ar) - 1.6555626) + 0.90353656)
11,0.00013625075,(((ar + (eps_1 * 0.023768311)) ^ -1.0973581) + 0.036615256) * u_avg
10,0.00013634584,u_avg * (tanh((1.0381321 / ar) - 0.62676483) + 0.6062364)
9,0.00013774233,u_avg * (((ar + 0.019122599) ^ -1.0982739) + 0.037105534)
7,0.00014867814,((ar ^ -1.034254) + 0.013159657) * u_avg
5,0.00015917237,u_avg / (ar - 0.007979691)
3,0.00017652054,u_avg / ar
1,0.15781274,0.70911646
