Complexity,Loss,Equation
30,1044045.1,abs(((((98.507645 / (eps_0 / ar)) + (((0.12752481 / eps_0) - phi) * ((((-6375.2983 / eps_1) * (u_avg / eps_1)) + 4761.041) / ar))) + -626.0279) / eps_1) / eps_0)
29,1077740.6,((((((((u_avg / eps_1) * (-6277.865 / eps_1)) + 4383.72) / ar) * ((0.12600626 / eps_0) - phi)) + (96.9498 / (eps_0 / ar))) + -630.3205) / eps_1) / eps_0
27,1106202.5,((((0.45053026 - phi) * -11178.426) / ar) - (a_0 * -0.2803074)) * abs(((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + (phi / -0.75178474)) / eps_1)
26,1119120.2,((phi / -0.77608144) + (((u_avg / eps_1) / eps_1) / sqrt(eps_0))) * (((((0.4516329 - phi) * -11126.429) / ar) - (a_0 * -0.28287727)) / eps_1)
25,1149833.1,abs((((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + (phi / -0.76038516)) * (((0.45316845 - phi) * (-11224.889 / ar)) - -322.25687)) / eps_1)
24,1161186.0,(((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + (phi / -0.7843949)) * (((0.4545951 - phi) * (-11178.43 / ar)) - -326.09805)) / eps_1
23,1217086.0,abs(((((0.40332988 - phi) * (-10527.933 / ar)) / eps_1) - -508.5813) * ((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + -1.2329707))
22,1242917.8,(((0.43575576 - phi) * (-10529.608 / ar)) - -326.0705) * (((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + -0.9917537) / eps_1)
21,1565994.4,abs(((-2575.8977 - (phi * -9287.068)) / ar) * (((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + -1.1088157) / eps_1))
20,1593791.1,(((-2563.0276 - (phi * -9235.717)) / ar) / eps_1) * ((((u_avg / eps_1) / eps_1) / sqrt(eps_0)) + -1.0659919)
19,1698010.0,((((u_avg / eps_1) - eps_0) * (phi + -0.30345115)) * ((68182.26 / eps_1) + -61698.0)) / (ar + eps_0)
18,2088761.5,abs((((eps_0 - (u_avg / eps_1)) / ar) * (0.2715065 - phi)) * ((57748.676 / eps_1) + -54312.63))
17,2096966.6,((phi + -0.27156484) / ar) * (((57765.41 / eps_1) + -54338.426) * ((u_avg / eps_1) - eps_0))
16,2303126.5,abs((((37963.773 / eps_1) + -34617.715) * (((phi * u_avg) / eps_1) - eps_0)) / ar)
15,2542177.5,((38124.71 / eps_1) + -34940.004) * (((phi * (u_avg / eps_1)) - eps_0) / ar)
13,4265849.5,((((34830.543 / eps_1) + -35275.836) * phi) * (u_avg / eps_1)) / ar
12,7793707.5,abs((phi / ar) * (u_avg * ((81725.26 / eps_1) + -94131.65)))
11,8022716.0,((((25932.572 / eps_1) + -26221.09) / ar) * u_avg) / eps_1
10,10881675.0,((log(eps_1) * (u_avg / eps_1)) / ar) * -35237.605
9,12453494.0,(u_avg * ((54256.836 / eps_1) + -59058.746)) / ar
8,19275852.0,((u_avg / eps_1) * log(eps_1)) * -10729.656
7,20753138.0,u_avg * ((16322.09 / eps_1) + -17672.604)
6,29381436.0,u_avg * (log(eps_1) * -18027.773)
5,34603000.0,(23622.082 / eps_1) - 25446.984
4,41303932.0,log(eps_1) * -26653.244
3,63514140.0,5479.028 / eps_1
1,81420984.0,6204.38
